id,name,min_age_months
1387,"Pork, tofu, and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",8
1388,"Pork chow mein or chop suey, no noodles",8
1389,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",8
1390,"Pork and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",8
1391,"Sausage and vegetables including  carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",18
1392,"Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",18
1393,"Sausage and peppers, no sauce",18
1394,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",8
1395,"Pork and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, soy-based sauce",8
1396,"Pork shish kabob with vegetables, excluding potatoes",8
1397,"Lamb shish kabob with vegetables, excluding potatoes",8
1398,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",8
1399,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",8
1400,"Chicken or turkey shish kabob with vegetables, excluding potatoes",8
1401,"Chicken or turkey creole, without rice",8
1402,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",8
1403,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",8
1404,"Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce",8
1405,"Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce",8
1406,Chicken or turkey divan,8
1407,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",8
1408,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",8
1409,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",8
1410,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",8
1411,General Tso chicken,8
1412,Moo Goo Gai Pan,8
1413,Kung pao chicken,8
1414,Almond chicken,48
1415,"Chicken or turkey chow mein or chop suey, no noodles",8
1416,"Chicken or turkey salad, made with mayonnaise",8
1417,Chicken or turkey salad with nuts and/or fruits,48
1418,Chicken or turkey salad with egg,8
1419,"Chicken or turkey salad, made with light mayonnaise",8
1420,"Chicken or turkey salad, made with mayonnaise-type salad dressing",8
1421,"Chicken or turkey salad, made with light mayonnaise-type salad dressing",8
1422,"Chicken or turkey salad, made with creamy dressing",8
1423,"Chicken or turkey salad, made with light creamy dressing",8
1424,"Chicken or turkey salad, made with Italian dressing",8
1425,"Chicken or turkey salad, made with light Italian dressing",8
1426,"Chicken or turkey salad, made with any type of fat free dressing",8
1427,"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",8
1428,"Chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing",8
1429,"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",8
1430,"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",12
1431,"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",8
1432,"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",12
1433,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",48
1434,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",48
1435,"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",8
1436,"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing",12
1437,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce",8
1438,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce",8
1439,"Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style",8
1440,"Chicken or turkey fricassee, no sauce, no potatoes, Puerto Rican style",8
1441,Crab salad,8
1442,Lobster salad,8
1443,Salmon salad,8
1444,"Shrimp chow mein or chop suey, no noodles",8
1445,"Tuna salad, made with mayonnaise",8
1446,"Tuna salad, made with light mayonnaise",8
1447,"Tuna salad, made with mayonnaise-type salad dressing",8
1448,"Tuna salad, made with light mayonnaise-type salad dressing",8
1449,"Tuna salad, made with creamy dressing",8
1450,"Tuna salad, made with light creamy dressing",8
1451,"Tuna salad, made with Italian dressing",8
1452,"Tuna salad, made with light Italian dressing",8
1453,"Tuna salad, made with any type of fat free dressing",8
1454,Shrimp salad,8
1455,Seafood salad,8
1456,Tuna salad with cheese,8
1457,Tuna salad with egg,8
1458,"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",8
1459,"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",8
1460,Crab salad made with imitation crab,8
1461,"Fish, tofu, and vegetables, tempura",12
1462,"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",8
1463,"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",8
1464,"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",8
1465,"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",8
1466,Oysters Rockefeller,8
1467,Lomi salmon,8
1468,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",8
1469,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",8
1470,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",8
1471,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",8
1472,"Shrimp shish kabob with vegetables, excluding potatoes",8
1473,"Shrimp creole, no rice",8
1474,Kung Pao shrimp,8
1475,"Tuna casserole with vegetables and mushroom sauce, no noodles",12
1476,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",8
1477,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",8
1478,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",8
1479,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",8
1480,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",8
1481,"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce",8
1482,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",8
1483,"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",8
1484,"Fish shish kabob with vegetables, excluding potatoes",8
1485,"Fried fish with sauce, Puerto Rican style",12
1486,"Lobster with sauce, Puerto Rican style",8
1487,"Octopus salad, Puerto Rican style",8
1488,"Codfish salad, Puerto Rican style, Serenata",8
1489,"Chow mein or chop suey, NS as to type of meat, no noodles",8
1490,Lau lau,8
1491,"Antipasto with ham, fish, cheese, vegetables",8
1492,"Livers, chicken, chopped, with eggs and onion",8
1493,"Liver, beef or calves, and onions",8
1494,"Stewed chitterlings, Puerto Rican style",12
1495,"Stewed gizzards, Puerto Rican style",12
1496,"Gumbo, no rice",8
1497,"Sandwich, NFS",9
1498,"Sandwich wrap, NFS",9
1499,"Barbecue sandwich, NFS",9
1500,"Sloppy joe sandwich, on white bun",9
1501,"Sloppy joe sandwich, on wheat bun",9
1502,"Barbecue beef sandwich, on white bun",9
1503,"Barbecue beef sandwich, on wheat bun",9
1504,"Cheeseburger slider, from fast food",9
1505,"Cheeseburger, NFS",9
1506,"Cheeseburger, from fast food, 1 small patty",9
1507,Cheeseburger (Burger King),9
1508,Whopper Jr with cheese (Burger King),9
1509,Cheeseburger (McDonalds),9
1510,"Cheeseburger, from school cafeteria",9
1511,Cheeseburger slider,9
1512,"Cheeseburger, on white bun, 1 small patty",9
1513,"Cheeseburger, on wheat bun, 1 small patty",9
1514,"Cheeseburger, from fast food, 1 medium patty",9
1515,Quarter Pounder (McDonalds),9
1516,Whopper with cheese (Burger King),9
1517,Quarter Pounder with cheese (McDonalds),9
1518,"Cheeseburger, on white bun, 1 medium patty",9
1519,"Cheeseburger, on wheat bun, 1 medium patty",9
1520,"Cheeseburger, on white bun, 1 large patty",9
1521,"Cheeseburger, on wheat bun, 1 large patty",9
1522,"Double cheeseburger, on white bun, 2 small patties",9
1523,"Double cheeseburger, on wheat bun, 2 small patties",9
1524,"Double cheeseburger, on white bun, 2 medium patties",9
1525,"Double cheeseburger, on wheat bun, 2 medium patties",9
1526,"Cheeseburger, from fast food, 1 large patty",9
1527,"Double cheeseburger, on white bun, 2 large patties",9
1528,"Double cheeseburger, on wheat bun, 2 large patties",9
1529,"Double cheeseburger, from fast food, 2 small patties",9
1530,Double cheeseburger (Burger King),9
1531,Double cheeseburger (McDonalds),9
1532,McDouble (McDonalds),9
1533,Big Mac (McDonalds),9
1534,"Double cheeseburger, from fast food, 2 medium patties",9
1535,"Double cheeseburger, from fast food, 2 large patties",9
1536,"Hamburger slider, from fast food",9
1537,"Hamburger, NFS",9
1538,"Hamburger, from fast food, 1 small patty",9
1539,Hamburger (Burger King),9
1540,Whopper Jr (Burger King),9
1541,Hamburger (McDonalds),9
1542,"Hamburger, from school cafeteria",9
1543,Hamburger slider,9
1544,"Hamburger, on white bun, 1 small patty",9
1545,"Hamburger, on wheat bun, 1 small patty",9
1546,"Hamburger, from fast food, 1 medium patty",9
1547,"Hamburger, from fast food, 1 large patty",9
1548,Whopper (Burger King),9
1549,"Hamburger, on white bun, 1 medium patty",9
1550,"Hamburger, on wheat bun, 1 medium patty",9
1551,"Hamburger, on white bun, 1 large patty",9
1552,"Hamburger, on wheat bun, 1 large patty",9
1553,"Double hamburger, on white bun, 2 small patties",9
1554,"Double hamburger, on wheat bun, 2 small patties",9
1555,"Double hamburger, on white bun, 2 medium patties",9
1556,"Double hamburger, on wheat bun, 2 medium patties",9
1557,"Double hamburger, on white bun, 2 large patties",9
1558,"Double hamburger, on wheat bun, 2 large patties",9
1559,"Double hamburger, from fast food, 2 small patties",9
1560,"Double hamburger, from fast food, 2 medium patties",9
1561,"Double hamburger, from fast food, 2 large patties",9
1562,Meatball sandwich or sub,9
1563,Meatloaf sandwich,9
1564,"Chiliburger, with or without cheese, on bun",24
1565,Corned beef sandwich on white,9
1566,"Corned beef sandwich on white, with cheese",9
1567,Corned beef sandwich on wheat,9
1568,"Corned beef sandwich on wheat, with cheese",9
1569,Reuben sandwich,9
1570,Roast beef sandwich on white,9
1571,"Roast beef sandwich on white, with cheese",9
1572,Roast beef sandwich on wheat,9
1573,"Roast beef sandwich on wheat, with cheese",9
1574,French dip sandwich,9
1575,Steak sandwich or sub on white,9
1576,Steak sandwich or sub on wheat,9
1577,Cheese steak sandwich or sub on white,9
1578,Cheese steak sandwich or sub on wheat,9
1579,Gyro sandwich,9
1580,"Hamburger wrap sandwich, from fast food",9
1581,Ham sandwich on white,9
1582,"Ham sandwich on white, with cheese",9
1583,Ham sandwich on wheat,9
1584,"Ham sandwich on wheat, with cheese",9
1585,"Ham sandwich or sub, restaurant",9
1586,"Ham sandwich or sub, with cheese, restaurant",9
1587,Ham sandwich wrap,9
1588,Ham salad sandwich on white,9
1589,Ham salad sandwich on wheat,9
1590,Cuban sandwich,9
1591,Barbecue rib sandwich,9
1592,"Barbecue pork sandwich, on white bun",9
1593,"Barbecue pork sandwich, on wheat bun",9
1594,Pork sandwich,9
1595,"Pork sandwich, with cheese",9
1596,"Bacon, lettuce, tomato sandwich on white",9
1597,"Bacon, lettuce, tomato sandwich on wheat",9
1598,Turkey sandwich on white,9
1599,"Turkey sandwich on white, with cheese",9
1600,Turkey sandwich on wheat,9
1601,"Turkey sandwich on wheat, with cheese",9
1602,"Turkey sandwich or sub, restaurant",9
1603,"Turkey sandwich or sub, with cheese, restaurant",9
1604,Turkey sandwich wrap,9
1605,"Chicken deli sandwich or sub, restaurant",18
1606,"Chicken deli sandwich or sub, with cheese, restaurant",18
1607,Chicken salad sandwich on white,9
1608,Chicken salad sandwich on wheat,9
1609,Chicken salad sandwich wrap,9
1610,Club sandwich on white,9
1611,"Club sandwich on white, with cheese",9
1612,Club sandwich on wheat,9
1613,"Club sandwich on wheat, with cheese",9
1614,"Club sandwich or sub, restaurant",9
1615,"Barbecue chicken sandwich, on white bun",9
1616,"Barbecue chicken sandwich, on wheat bun",9
1617,"Chicken fillet sandwich, NFS",9
1618,"Chicken fillet sandwich, from school cafeteria",9
1619,"Chicken fillet biscuit, from fast food",9
1620,"Chicken fillet sandwich, fried, from fast food",12
1621,"Chicken fillet sandwich, fried, from fast food, with cheese",12
1622,"Chicken fillet sandwich, grilled, from fast food",9
1623,"Chicken fillet sandwich, grilled, from fast food, with cheese",9
1624,"Chicken fillet sandwich, NS as to fried or grilled, from fast food",12
1625,"Chicken fillet sandwich, fried, on white bun",12
1626,"Chicken fillet sandwich, fried, on white bun; with cheese",12
1627,"Chicken fillet sandwich, fried, on wheat bun",12
1628,"Chicken fillet sandwich, fried, on wheat bun, with cheese",12
1629,"Chicken fillet sandwich, grilled, on white bun",9
1630,"Chicken fillet sandwich, grilled, on white bun, with cheese",9
1631,"Chicken fillet sandwich, grilled, on wheat bun",9
1632,"Chicken fillet sandwich, grilled, on wheat bun, with cheese",9
1633,"Chicken fillet wrap sandwich, fried, from fast food",12
1634,"Chicken fillet wrap sandwich, grilled, from fast food",9
1635,"Turkey or chicken burger, on white bun",9
1636,"Turkey or chicken burger, on wheat bun",9
1637,"Fish sandwich, fried, from fast food",12
1638,"Fish sandwich, fried, from fast food, with cheese",12
1639,Crab cake sandwich,12
1640,Salmon cake sandwich,12
1641,Fried seafood sandwich,12
1642,"Fish sandwich, from school cafeteria",9
1643,"Fish sandwich, NFS",9
1644,"Fish sandwich, fried, on white bun",12
1645,"Fish sandwich, fried, on white bun, with cheese",12
1646,"Fish sandwich, fried, on wheat bun",12
1647,"Fish sandwich, fried, on wheat bun, with cheese",12
1648,"Fish sandwich, grilled",9
1649,Fish wrap sandwich,9
1650,Sardine sandwich,9
1651,Tuna salad sandwich on white,9
1652,"Tuna salad sandwich on white, with cheese",9
1653,Tuna salad sandwich on wheat,9
1654,"Tuna salad sandwich on wheat, with cheese",9
1655,Tuna salad sandwich wrap,9
1656,Seafood salad sandwich,9
1657,Bologna sandwich on white,18
1658,"Bologna sandwich on white, with cheese",18
1659,Bologna sandwich on wheat,18
1660,"Bologna sandwich on wheat, with cheese",18
1661,Corn dog,18
1662,Pig in a blanket,18
1663,Salami sandwich on white,18
1664,"Salami sandwich on white, with cheese",18
1665,Salami sandwich on wheat,18
1666,"Salami sandwich on wheat, with cheese",18
1667,Italian sandwich on white,9
1668,Italian sandwich on wheat,9
1669,"Italian sandwich or sub, restaurant",9
1670,Italian sausage sandwich on white,18
1671,Italian sausage sandwich on wheat,18
1672,Spam sandwich,18
1673,"Hot dog sandwich, NFS, on white bun",18
1674,"Hot dog sandwich, NFS, on wheat bun",18
1675,"Hot dog sandwich, NFS, on white bread",18
1676,"Hot dog sandwich, NFS, on wheat bread",18
1677,"Hot dog sandwich, beef, on white bun",18
1678,"Hot dog sandwich, beef, on wheat bun",18
1679,"Hot dog sandwich, beef, on white bread",18
1680,"Hot dog sandwich, beef, on wheat bread",18
1681,"Hot dog sandwich, meat and poultry, on white bun",18
1682,"Hot dog sandwich, meat and poultry, on wheat bun",18
1683,"Hot dog sandwich, meat and poultry, on white bread",18
1684,"Hot dog sandwich, meat and poultry, on wheat bread",18
1685,"Hot dog sandwich, turkey, on white bun",18
1686,"Hot dog sandwich, turkey, on wheat bun",18
1687,"Hot dog sandwich, turkey, on white bread",18
1688,"Hot dog sandwich, turkey, on wheat bread",18
1689,"Hot dog sandwich, reduced fat, on white bun",18
1690,"Hot dog sandwich, reduced fat, on wheat bun",18
1691,"Hot dog sandwich, reduced fat, on white bread",18
1692,"Hot dog sandwich, reduced fat, on wheat bread",18
1693,"Hot dog sandwich, vegetarian, on bun",18
1694,"Hot dog sandwich, vegetarian, on bread",18
1695,"Chili hot dog sandwich, on white bun",24
1696,"Chili hot dog sandwich, on wheat bun",24
1697,"Chili hot dog sandwich, on white bread",24
1698,"Chili hot dog sandwich, on wheat bread",24
1699,Multiple meat sandwich on white,9
1700,"Multiple meat sandwich on white, with cheese",9
1701,Multiple meat sandwich on wheat,9
1702,"Multiple meat sandwich on wheat, with cheese",9
1703,"Multiple meat sandwich or sub, restaurant",9
1704,"Multiple meat sandwich or sub, with cheese, restaurant",9
1705,Multiple meat sandwich wrap,9
1706,Turkey and ham sandwich on white,9
1707,"Turkey and ham sandwich on white, with cheese",9
1708,Turkey and ham sandwich on wheat,9
1709,"Turkey and ham sandwich on wheat, with cheese",9
1710,"Turkey and ham sandwich or sub, restaurant",9
1711,"Turkey and ham sandwich or sub, with cheese, restaurant",9
1712,"Frozen dinner, NFS",12
1713,"Beef dinner, NFS, frozen meal",12
1714,"Beef with vegetable, diet frozen meal",12
1715,"Salisbury steak dinner, NFS, frozen meal",12
1716,"Salisbury steak with gravy, potatoes, vegetable, frozen meal",12
1717,"Salisbury steak with gravy, whipped potatoes, vegetable, dessert, frozen meal",12
1718,"Salisbury steak with gravy, macaroni and cheese, frozen meal",12
1719,"Beef, sliced, with gravy, potatoes, vegetable, frozen meal",12
1720,"Meatballs, Swedish, in gravy, with noodles, diet frozen meal",12
1721,"Beef with spaetzle or rice, vegetable, frozen meal",12
1722,"Chicken dinner, NFS, frozen meal",12
1723,"Chicken, fried, with potatoes, vegetable, frozen meal",12
1724,"Chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal",12
1725,"Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion",12
1726,"Teriyaki chicken with rice and vegetable, diet frozen meal",12
1727,"Chicken with rice and vegetable, diet frozen meal",12
1728,"Chicken and vegetables au gratin with rice, diet frozen entree",12
1729,"Chicken and vegetable entree with rice, diet frozen meal",12
1730,"Chicken with noodles and cheese sauce, diet frozen meal",12
1731,"Chicken and vegetable entree with noodles, diet frozen meal",12
1732,"Chicken in soy-based sauce, rice and vegetables, frozen meal",12
1733,"Chicken and vegetable entree with noodles and cream sauce, frozen meal",12
1734,"Turkey with vegetable, stuffing, diet frozen meal",12
1735,"Turkey with gravy, dressing, potatoes, vegetable, frozen meal",12
1736,"Fish in lemon-butter sauce with starch item, vegetable, frozen meal",12
1737,"Shrimp and vegetables in sauce with noodles, diet frozen meal",12
1738,"Meat loaf dinner, NFS, frozen meal",12
1739,"Meat loaf with potatoes, vegetable, frozen meal",12
1740,"Soup, meatball",8
1741,"Soup, pho, with meat",8
1742,"Soup, pho, no meat",8
1743,"Soup, pepperpot",8
1744,"Soup, beef, canned",8
1745,"Soup, sopa or caldo de res",8
1746,"Soup, pozole",8
1747,"Soup, Italian wedding",8
1748,"Soup, pork or ham",8
1749,"Soup, broth",8
1750,"Soup, chicken, canned",8
1751,"Soup, chicken",8
1752,"Soup, sopa or caldo de pollo",8
1753,"Soup, hot and sour",8
1754,"Soup, cream of chicken",8
1755,"Soup, Manhattan clam chowder",8
1756,"Soup, New England clam chowder",8
1757,"Soup, bisque",8
1758,Lobster gumbo,8
1759,Shrimp gumbo,8
1760,"Soup, fish or shrimp",8
1761,"Gravy, poultry",8
1762,"Gravy, beef",8
1763,"Gravy, beef, fat free",8
1764,"Gravy, poultry, fat free",8
1765,"Gravy, made with soy sauce",8
1766,"Gravy, NFS",8
1767,Oyster sauce,8
1768,Mole sauce,8
1769,"Egg, whole, raw",60
1770,"Egg, whole, cooked, NS as to cooking method",8
1771,"Egg, whole, boiled or poached",8
1772,"Egg, whole, fried, NS as to fat",12
1773,"Egg, whole, fried no added fat",12
1774,"Egg, whole, fried with margarine",12
1775,"Egg, whole, fried with oil",12
1776,"Egg, whole, fried with butter",12
1777,"Egg, whole, fried with animal fat or meat drippings",12
1778,"Egg, whole, fried with cooking spray",12
1779,"Egg, whole, fried, NS as to fat type",12
1780,"Egg, whole, fried, from fast food / restaurant",12
1781,"Egg, whole, baked, NS as to fat",8
1782,"Egg, whole, baked, no added fat",8
1783,"Egg, whole, baked, fat added",8
1784,"Egg, whole, pickled",8
1785,"Egg, white only, raw",60
1786,"Egg, white, cooked, NS as to fat",8
1787,"Egg, white, cooked, no added fat",8
1788,"Egg, white, cooked, fat added",8
1789,"Egg, yolk only, raw",60
1790,"Egg, yolk only, cooked, NS as to fat",8
1791,"Egg, yolk only, cooked, no added fat",8
1792,"Egg, yolk only, cooked, fat added",8
1793,"Duck egg, cooked",8
1794,"Goose egg, cooked",8
1795,"Quail egg, canned",8
1796,"Egg, creamed",8
1797,"Egg, Benedict",8
1798,"Egg, deviled",8
1799,"Egg salad, made with mayonnaise",8
1800,"Egg salad, made with light mayonnaise",8
1801,"Egg salad, made with mayonnaise-type salad dressing",8
1802,"Egg salad, made with light mayonnaise-type salad dressing",8
1803,"Egg salad, made with creamy dressing",8
1804,"Egg salad, made with light creamy dressing",8
1805,"Egg salad, made with Italian dressing",8
1806,"Egg salad, made with light Italian dressing",8
1807,"Egg Salad, made with any type of fat free dressing",8
1808,Huevos rancheros,8
1809,"Egg casserole with bread, cheese, milk and meat",12
1810,"Egg foo yung, NFS",8
1811,Chicken egg foo yung,8
1812,Pork egg foo yung,8
1813,Shrimp egg foo yung,8
1814,Beef egg foo yung,8
1815,"Egg omelet or scrambled egg, NS as to fat",8
1816,"Egg omelet or scrambled egg, made with margarine",8
1817,"Egg omelet or scrambled egg, made with oil",8
1818,"Egg omelet or scrambled egg, made with butter",8
1819,"Egg omelet or scrambled egg, made with animal fat or meat drippings",8
1820,"Egg omelet or scrambled egg, made with cooking spray",8
1821,"Egg omelet or scrambled egg, NS as to fat type",8
1822,"Egg omelet or scrambled egg, no added fat",8
1823,"Egg omelet or scrambled egg, from fast food / restaurant",8
1824,"Egg omelet or scrambled egg, with cheese, made with margarine",8
1825,"Egg omelet or scrambled egg, with cheese, made with oil",8
1826,"Egg omelet or scrambled egg, with cheese, made with butter",8
1827,"Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings",8
1828,"Egg omelet or scrambled egg, with cheese, made with cooking spray",8
1829,"Egg omelet or scrambled egg, with cheese, no added fat",8
1830,"Egg omelet or scrambled egg, with meat, NS as to fat",8
1831,"Egg omelet or scrambled egg, with meat, made with margarine",8
1832,"Egg omelet or scrambled egg, with meat, made with oil",8
1833,"Egg omelet or scrambled egg, with meat, made with butter",8
1834,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings",8
1835,"Egg omelet or scrambled egg, with meat, made with cooking spray",8
1836,"Egg omelet or scrambled egg, with meat, NS as to fat type",8
1837,"Egg omelet or scrambled egg, with meat, no added fat",8
1838,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat",8
1839,"Egg omelet or scrambled egg, with cheese and meat, made with margarine",8
1840,"Egg omelet or scrambled egg, with cheese and meat, made with oil",8
1841,"Egg omelet or scrambled egg, with cheese and meat, made with butter",8
1842,"Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings",8
1843,"Egg omelet or scrambled egg, with cheese and meat, made with cooking spray",8
1844,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat type",8
1845,"Egg omelet or scrambled egg, with cheese and meat, no added fat",8
1846,"Egg omelet or scrambled egg, with tomatoes, fat added",8
1847,"Egg omelet or scrambled egg, with tomatoes, no added fat",8
1848,"Egg omelet or scrambled egg, with tomatoes, NS as to fat",8
1849,"Egg omelet or scrambled egg, with dark-green vegetables, fat added",8
1850,"Egg omelet or scrambled egg, with dark-green vegetables, no added fat",8
1851,"Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat",8
1852,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added",8
1853,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, no fat added",8
1854,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat",8
1855,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added",8
1856,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, no added fat",8
1857,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, NS as to fat",8
1858,"Egg omelet or scrambled egg, with cheese and tomatoes, fat added",8
1859,"Egg omelet or scrambled egg, with cheese and tomatoes, no added fat",8
1860,"Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat",8
1861,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat added",8
1862,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, no added fat",8
1863,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat",8
1864,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, fat added",8
1865,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, no added fat",8
1866,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, NS as to fat",8
1867,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat added",8
1868,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, no added fat",8
1869,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat",8
1870,"Egg omelet or scrambled egg, with meat and tomatoes, fat added",8
1871,"Egg omelet or scrambled egg, with meat and tomatoes, no added fat",8
1872,"Egg omelet or scrambled egg, with meat and tomatoes, NS as to fat",8
1873,"Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added",8
1874,"Egg omelet or scrambled egg, with meat and dark-green vegetables, no added fat",8
1875,"Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat",8
1876,"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, fat added",8
1877,"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, no added fat",8
1878,"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, NS as to fat",8
1879,"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, fat added",8
1880,"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, no added fat",8
1881,"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, NS as to fat",8
1882,"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, fat added",8
1883,"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, no added fat",8
1884,"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, NS as to fat",8
1885,"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, fat added",8
1886,"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, no added fat",8
1887,"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, NS as to fat",8
1888,"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, fat added",8
1889,"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, no added fat",8
