id,Title,Desc,Muscle Group,metValue,sports,Minimal Age (months)
280,Reach crunch,The reach crunch is a bodyweight core exercise that involves keeping the arms raised toward the ceiling while performing a crunch. It can be performed for time or reps as part of any abs-focused circuit or workout.,Abs,3.0,Strength Training,120
281,FYR Push-Up Plank Hold,"The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders.","Abs, Shoulders",3.0,"Calisthenics, Strength Training",96
282,FYR Hollow-Body Rock,"The hollow-body rock is a bodyweight abdominal exercise performed on the floor. It starts with a hollow-body hold and adds a back-and-forth rock that challenges core stability and increases the difficulty of the movement. It can be performed for time or for reps, either in an ab-focused portion of a workout or as part of a circuit workout.",Abs,4.0,"Calisthenics, Crossfit, Gymnastics",144
283,V-up plus knee-to-chest combo,The V-up plus knee-to-chest combo is a core exercise that targets the abdominals and hip flexors by combining two movements into a single sequence. It can be performed for time or reps in the ab-focused portion of any workout.,"Abs, Hip Flexors",4.8,Strength Training,144
284,Side plank lateral raise,"The side plank lateral raise is an exercise that combines an isometric side plank hold with a dumbbell raise to target both the core and the shoulders. You probably won't be able to use much weight without disrupting your balance, but even at light weight, this is a movement that can help address multiple muscle groups in a time-efficient workout.","Obliques, Shoulders, Deltoids",4.5,"Circuit Training, Fitness",168
285,Superhero burpee,"The superhero burpee is an advanced variation of the burpee exercise. The main difference between this and the standard burpee is that while on the floor, the hands are extended in front of the body like Superman taking flight. This increases the challenge to the upper back and shoulders. These can be performed for time or reps as part of any fat-loss or athleticism-focused workout or circuit.","Full Body, Back, Shoulders",9.5,"Fitness, HIIT",168
286,Hollow-body abduction,"The hollow-body abduction is an isometric core exercise that includes leg abductions for an added challenge to the core and abductors. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.","Abs, Inner Thighs",4.0,"Calisthenics, Pilates",144
287,FYR Hollow Hold,"The Hollow Hold is an isometric core exercise that targets the deep abdominal muscles. It involves maintaining a position where the lower back is pressed into the floor, and the shoulders and legs are lifted.",Abs,3.8,"Calisthenics, Crossfit, Gymnastics",144
288,Tip-toe crunch,The tip-toe crunch is a variation on the crunch exercise that involves placing the toes on or near the ground. This can help isolate the abs from the hip flexors. The tip-toe crunch can be performed for time or for reps as part of the core-focused component of any workout.,Abs,2.8,Strength Training,96
289,Knee-to-nose pulse,"The knee-to-nose pulse is a bodyweight exercise that targets the core by pulsing your knee toward your nose. It starts in a straight-arm plank position, and is similar to a mountain climber, but with a hold or pause in the bent-knee position.","Abs, Shoulders",4.0,"Fitness, Yoga",120
290,Plank walk-out,"The plank walk-out is an advanced plank variation targeting the core and shoulders. From a standing position, the lifter descends into a plank-type position but “walks” the hands forward until they are out in front of the head. This is far more challenging to the core than having the arms directly under the shoulders. Beginners will need to progress to this exercise.","Abs, Shoulders",5.0,Calisthenics,144
291,FYR V-Up,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.","Abs, Hip Flexors",4.5,"Calisthenics, Crossfit, Gymnastics",144
292,Long sit-up,"The long sit-up is an advanced version of the sit-up exercise that is performed with the hands reaching over the head. This lengthens the torso, making it harder for the abs to contract and lift the upper body. Long sit-ups can be performed for time or for reps, with the feet anchored or free.",Abs,4.2,Strength Training,144
293,FYR Breakdancer,"The side kick-through is a full-body movement that involves isometric holds and moving the body through different ranges of motion, beginning in a bear crawl position. The difference between a side kick-through and a sit-through is that your butt stays off the ground throughout the entire rep. It is commonly performed in bodyweight circuits and animal-style flows, but can also work for reps on its own or as part of a dynamic warm-up or mobility sequence.","Full Body, Obliques, Shoulders, Legs",7.5,"Animal Flow, Breakdancing, Fitness",168
294,Seated leg lift,The seated leg lift is a bodyweight exercise targeting the muscles of the core and hip flexors. It can be performed for time or reps in the core-focused portion of any workout.,"Abs, Hip Flexors",3.5,"Pilates, Strength Training",120
295,Gorilla burpee,"The gorilla burpee is a variation of the burpee exercise that consists of a reverse lunge on each leg, a full squat, then a standard burpee. It is extra challenging for the lower body, including the quads, glutes, and hamstrings. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.","Full Body, Legs",10.0,"Fitness, HIIT",192
296,Knee-in to V-out,"The knee-in to V-out is a bodyweight abdominal exercise performed on the floor. It is similar to both the reverse crunch and the V-up exercise, but combines elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",Abs,4.0,Strength Training,120
297,Bear crawl push-up,"The bear crawl push-up is a variation of the bear crawl hold with a push-up added. It adds an extra coordination and shoulder challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow.","Full Body, Chest, Shoulders, Triceps, Abs, Legs",8.0,"Animal Flow, Fitness",168
298,FYR Front Step,The FYR front step is a basic stepping exercise used to elevate the heart rate and warm up the body.,Full Body,4.0,"Aerobics, Mobility",84
299,Plank reach,"The plank reach is an exercise targeting the entire core, particularly the oblique muscles. It resembles a plank exercise, but the primary difference is that the lifter extends their arms forward, one at time. The core, especially the obliques, must work hard to maintain stability. It can be performed for time, with holds in the reaching position, or for reps.","Abs, Obliques",3.8,"Fitness, Strength Training",120
300,Eiffel Tower leg raise,"The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It is similar to a V-up, but with the added challenge of “drawing” a pyramid shape in the air with the legs during each rep. It can be performed for time or reps in the core-focused portion of any workout.",Abs,4.8,Calisthenics,144
301,Straight-arm plank,"The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders.","Abs, Shoulders",3.0,"Calisthenics, Strength Training",96
302,Plank up-down,"The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout.","Abs, Shoulders, Triceps",4.5,"Calisthenics, Fitness",120
303,Frog kick,"The frog kick is an explosive bodyweight movement that involves hopping the rear legs up and forward from a straight-arm plank position. It targets the legs, core, and shoulders, but is also a high-intensity conditioning movement that will raise core body temperature and burn serious calories. It can be performed for time or reps as part of any athleticism-focused or fat-loss circuit or workout.","Full Body, Legs, Abs, Shoulders",8.0,"Fitness, HIIT",168
304,FYR Knees to Chest,"The hollow-body alternating knee-to-chest is a core exercise that involves bending the legs while holding the hips and shoulder blades off the ground. It targets the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.",Abs,3.5,Strength Training,120
305,Front kick-through,"The front kick-through is a full-body movement that involves moving the legs from a bear crawl position to a balanced one-legged stance. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.","Full Body, Legs, Abs, Shoulders",7.5,"Animal Flow, Capoeira, Fitness",168
306,FYR Sit-Up,"The sit-up is a popular bodyweight exercise focused on the abdominal muscles. It has also been used as part of military, tactical, and scholastic fitness tests for many years. It can be performed for time or reps, with the feet anchored or free, on flat ground or a bench.","Abs, Hip Flexors",3.8,"Fitness, Military Training",120
307,FYR Leg Lift,The seated leg lift is a bodyweight exercise targeting the muscles of the core and hip flexors. It can be performed for time or reps in the core-focused portion of any workout.,"Abs, Hip Flexors",3.5,"Pilates, Strength Training",120
308,TBS Toes-to-bar,"The hanging toes-to-bar is an advanced abdominal exercise in which the lifter touches their feet to a pull-up bar. There are many ways to perform this movement: strict or swinging, arms completely straight or slightly bent, legs straight or bent, each providing unique benefits and challenges. Initially, it may be a difficult move to do for a single rep, but once you build the requisite core, lat, and shoulder strength, it can be performed for higher reps.","Abs, Hip Flexors, Lats",6.5,"Calisthenics, Crossfit, Gymnastics",192
309,FYR Mountain Climber,"The mountain climber is a popular bodyweight exercise targeting the muscles of the core, as well as the shoulders, hips, and cardiovascular system. It involves lifting one knee to the chest at a time from a straight-arm plank position. It can be performed for time or reps as part of a dynamic warm-up, for bodyweight cardio or conditioning, or as no-equipment dynamic core training.","Full Body, Abs, Shoulders, Hip Flexors",8.0,"Cardio, Circuit Training, HIIT",144
310,Roman Chair Side Ups,Roman chair side ups are an oblique exercise performed on a Roman chair or hyperextension bench. You bend sideways at the waist against gravity.,Obliques,3.5,"Bodybuilding, Strength Training",168
311,Push-Up Roll Out - Gethin Variation,The push-up roll out - Gethin variation is a challenging core and chest exercise that combines a push-up with a rollout using a barbell or ab wheel.,"Chest, Abs, Shoulders, Triceps",6.5,"Calisthenics, Fitness",168
312,Cross-Body Crunch - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.","Abs, Obliques",3.0,"Fitness, Strength Training",120
313,Decline leg lift with twist,"The decline leg lift with twist is a bodyweight core exercise targeting the obliques and rectus abdominis or ""six-pack"" muscles, particularly the lower abs. It can be performed for time or for reps as part of the core-focused portion of any workout or circuit.","Abs, Obliques",4.0,Strength Training,144
314,Hanging Leg Raise - Variation Gethin,"The hanging leg raise is an exercise targeting the abs and hip flexors. Instead of resting the forearms on the pads of apparatus, hang from a bar. It can be performed for time or reps in the ab-focused portion of any workout.","Abs, Hip Flexors, Lats",6.0,"Calisthenics, Crossfit, Gymnastics",192
315,Butterfly crunch,"The butterfly crunch is a popular bodyweight exercise that targets the rectus abdominis, or ""six-pack"" muscles. It gets its name from the position of the elbows and knees, both of which are bent out like wings. It can be performed for time or reps as part of any abs-focused circuit or workout.","Abs, Inner Thighs",3.0,"Strength Training, Yoga",120
316,Cross-body mountain climber,"The cross-body mountain climber is a popular bodyweight exercise targeting the muscles of the core, as well as the shoulders, hips, and cardiovascular system. It is different from a traditional mountain climber because you bring the knee to the opposite side of the body rather than simply to the chest. It can be performed for time or reps as part of a dynamic warm-up, for bodyweight cardio or conditioning, or as no-equipment dynamic core training.","Abs, Obliques, Shoulders, Full Body",8.2,"Cardio, Fitness, HIIT",144
317,Flat Bench Lying Leg Raise - Gethin Variation,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.","Abs, Hip Flexors",3.0,"Bodybuilding, Strength Training",120
318,Lying leg lift,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.","Abs, Hip Flexors",3.0,Strength Training,120
319,Hanging alternating single-leg raise,"The hanging alternating single-leg raise is an exercise targeting the abs, but which also works the lats and hip flexors. Rather than performing both legs at a time, you lift one and alternate with each rep. Leg raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training. However, this difficult variation may require some time to build up to those rep ranges.","Abs, Hip Flexors, Lats",5.5,"Calisthenics, Strength Training",192
320,Plank Walk,The plank walk is a core exercise where you move laterally in a plank position.,"Abs, Obliques, Shoulders",4.0,Fitness,120
321,Sit-Up - Gethin Variation,"The sit-up is a popular bodyweight exercise focused on the abdominal muscles. It has also been used as part of military, tactical, and scholastic fitness tests for many years. It can be performed for time or reps, with the feet anchored or free, on flat ground or a bench.","Abs, Hip Flexors",3.8,"Fitness, Military Training",120
322,Plank Push-Up,"The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout.","Abs, Shoulders, Triceps",4.5,"Calisthenics, Fitness",120
323,Decline crunch-,"The decline crunch is a popular bodyweight exercise targeting the rectus abdominis or ""six-pack"" muscles, particular the upper abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Abs,3.2,"Bodybuilding, Strength Training",144
324,Alternating lying leg raise,"The alternating lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.","Abs, Hip Flexors",3.0,Strength Training,120
325,Decline leg lift,"The decline leg lift is a popular bodyweight core exercise targeting the rectus abdominis or ""six-pack"" muscles, particularly the lower abs. It can be performed for time or for reps as part of the core-focused portion of any workout or circuit.",Abs,3.5,Strength Training,144
326,Crunch - Gethin Variation,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.","Abs, Obliques",2.8,"Fitness, Strength Training",96
327,Plank - Gethin Variation,"The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.",Abs,2.8,"Pilates, Strength Training, Yoga",96
328,Barbell floor wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.","Obliques, Abs, Shoulders, Chest",5.5,"Crossfit, Strength Training",192
329,Prison Push-Up,The prison push-up is a push-up variation where you bring one knee to the outside of your elbow as you lower your body.,"Chest, Triceps, Shoulders, Obliques",4.5,"Calisthenics, Fitness",144
330,McGill Modified Curl-Up,The McGill modified curl-up is a core exercise designed to strengthen the abdominal muscles while minimizing stress on the lower back.,"Abs, Lower Back",2.5,Rehabilitation,84
331,Cross-body toe-touch,"The cross-body toe-touch is a version of the toe-touch stretch where instead of both hands reaching down toward both feet, one hand at a time reaches for the opposing foot. It's a common component in dynamic warm-ups for training or sports, but can also be performed for simple flexibility work anytime.","Hamstrings, Lower Back",2.0,Mobility,84
332,Toy soldier,"The toy soldier is a calisthenics exercise targeting the hip flexors and legs, which are kicked up one at a time. When each leg is at the top of the kick, the opposing hand touches that foot. It's a common warm-up exercise before athletics, but can also help raise core temperature and mobilize a wide range of muscles and joints prior to training.","Hamstrings, Hip Flexors, Full Body",4.0,"Athletics, Mobility",84
333,Natural Glute Ham Raise with Stability Ball,The natural glute ham raise with a stability ball is a challenging posterior chain exercise that targets the glutes and hamstrings.,"Hamstrings, Glutes, Lower Back",5.0,"Fitness, Strength Training",168
334,Lateral ape,"The lateral ape is an exercise focused on the lower body that involves staying in a low squat position as you hop laterally. It can be performed as part of a dynamic warm-up, to improve hip mobility, or as part of a fat-loss or athleticism-focused circuit workout.","Legs, Glutes, Quads",6.0,"Animal Flow, Fitness, Parkour",144
335,Hollow-body knee tuck,"The hollow-body knee tuck is a bodyweight abdominal exercise performed on the floor. It is similar to both the hollow-body hold and the knee tuck or reverse crunch, combining elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",Abs,3.8,"Calisthenics, Gymnastics",144
336,HM Air Jumping Rope,The HM air jumping rope is a cardio exercise that mimics the motion of jumping rope without an actual rope.,"Full Body, Calves",11.0,"Cardio, Mobility",84
337,HM Alternating Lunge Reach,The HM alternating lunge reach is a dynamic stretch and warm-up that combines a lunge with a reach to improve flexibility and mobility.,"Legs, Full Body",3.5,Mobility,84
338,HM Alternating Side Plank Reach,The Alternating Side Plank Reach is an exercise for the obliques and shoulder stability. It involves maintaining a side plank while reaching the top arm under the body and then up towards the ceiling.,"Obliques, Shoulders",3.8,"Fitness, Yoga",120
339,HM Superman Plank,The Superman Plank is an advanced plank variation that challenges balance and core strength. It involves simultaneously lifting the opposite arm and leg while maintaining a stable plank position.,"Abs, Lower Back, Glutes, Shoulders",4.2,Calisthenics,144
340,HM Table Pose,The HM table pose is a yoga-inspired position that strengthens the back of the body.,"Glutes, Hamstrings, Shoulders",3.0,"Mobility, Yoga",96
341,HM Toe Touch,The HM toe touch is a core exercise where you lie on your back and reach up to touch your toes.,Abs,3.5,Strength Training,120
342,HM Right Side Bird-Dog,The HM right side bird-dog is a core stability exercise where you extend your right arm and left leg from an all-fours position.,"Abs, Lower Back, Glutes",2.8,"Pilates, Rehabilitation, Yoga",84
343,HM Right Side Crunch,The HM right side crunch is an oblique exercise where you crunch your right side.,Obliques,2.8,Strength Training,96
344,HM Bicycle,The HM bicycle is a classic core exercise that involves a pedaling motion with the legs while bringing the opposite elbow to the knee.,"Abs, Obliques",3.0,"Fitness, Strength Training",120
345,HM Bird-Dog Plank,The Bird-Dog Plank is a core stability exercise that targets the deep abdominal muscles and improves balance. It involves alternately lifting the opposite arm and leg from a plank position.,"Abs, Lower Back, Glutes",4.0,"Calisthenics, Fitness",120
346,HM Boat Pose,The HM boat pose is a yoga-inspired core exercise where you balance on your sit bones with your legs and torso lifted.,"Abs, Hip Flexors",3.5,"Pilates, Yoga",120
347,HM Bottoms Up,The HM bottoms up is a core exercise that involves lying on your back and lifting your hips and legs towards the ceiling.,Abs,3.0,Strength Training,120
348,HM Bridge,The HM bridge is a glute and hamstring exercise where you lie on your back and lift your hips off the ground.,"Glutes, Hamstrings",2.5,"Mobility, Rehabilitation, Strength Training",96
349,HM Running Man Crunch,The HM running man crunch is a core exercise that mimics a running motion while in a crunch position.,"Abs, Obliques",4.0,Strength Training,120
350,HM Seated Twist,The HM seated twist is a gentle rotational stretch for the spine.,"Obliques, Lower Back",1.8,"Mobility, Yoga",84
351,HM Side-Bend Pose,The HM side-bend pose is a stretch for the obliques and lats.,"Obliques, Lats",1.8,"Mobility, Yoga",84
352,HM Side-Plank Arm Wrap,The HM side-plank arm wrap is a core exercise where you wrap your top arm around your torso in a side plank.,Obliques,3.0,"Fitness, Yoga",96
353,HM Side-Plank with Hip Touch,The HM side-plank with hip touch is a side plank variation where you lower and lift your hip to work the obliques.,Obliques,3.5,"Pilates, Strength Training",120
354,HM Side-Plank with Kick,The HM side-plank with kick is a dynamic side plank variation that involves kicking one leg forward.,"Obliques, Hip Flexors",4.0,"Fitness, Pilates",120
355,HM Side V-Up,The HM side V-up is an oblique exercise where you lie on your side and bring your legs and torso up to meet in the middle.,Obliques,4.0,Strength Training,144
356,HM Crab Crunch,"The Crab Crunch is an exercise that targets the core and triceps. It involves lifting the hips from a ""crab"" position while alternately touching the opposite hand and foot.","Abs, Triceps, Glutes, Full Body",5.5,"Calisthenics, Fitness",144
357,HM Cross-Over Crunch,The HM cross-over crunch is an oblique exercise where you bring one elbow to the opposite knee.,"Obliques, Abs",3.0,Strength Training,96
358,HM Crunch Pulse,"Crunch Pulses are a variation of the traditional crunch that involves small, controlled movements at the top of the motion. This maintains constant tension on the abdominal muscles.",Abs,2.8,Strength Training,96
359,HM Dead Bug,The HM dead bug is a core stability exercise where you lie on your back and slowly lower opposite arm and leg.,Abs,3.0,"Fitness, Pilates, Rehabilitation",96
360,HM Single-Leg Inchworm,The HM single-leg inchworm is a full-body exercise that challenges balance and core strength.,"Full Body, Hamstrings, Shoulders, Abs",5.5,"Calisthenics, Fitness",144
361,HM Floor Jack,The HM floor jack is a cardio exercise that mimics a jumping jack while lying on the floor.,Full Body,4.0,"Circuit Training, Home Workouts",96
362,HM Floor Wiper,The HM floor wiper is a core exercise where you lie on your back and rotate your legs from side to side like windshield wipers.,"Obliques, Abs",3.5,Strength Training,120
363,HM Floor Kick,The HM floor kick is a dynamic exercise that involves kicking from a seated or lying position.,"Abs, Hip Flexors",3.8,Strength Training,120
364,HM Sit-Up,The HM sit-up is a classic abdominal exercise where you lift your torso up to a sitting position.,"Abs, Hip Flexors",3.8,"Fitness, Military Training",120
365,HM Slow Mountain Climber,The HM slow mountain climber is a core exercise where you bring your knees to your chest in a controlled manner from a plank position.,"Abs, Shoulders",5.0,"Fitness, Strength Training",120
366,HM Slow Sit-Up,The HM slow sit-up is a sit-up performed at a slow tempo to increase time under tension.,"Abs, Hip Flexors",3.8,Strength Training,120
367,HM Half-Up,The HM half-up is a core exercise where you lift your torso only partially off the ground.,Abs,2.8,Strength Training,96
368,HM Hollow-Body Pulse,The HM hollow-body pulse is a core exercise where you perform small pulsing movements in a hollow-body position.,Abs,4.0,"Calisthenics, Gymnastics",144
369,HM Hollow Hold,The HM hollow hold is an isometric core exercise where you hold a hollow-body position.,Abs,3.8,"Calisthenics, Crossfit, Gymnastics",144
370,HM Inchworm,The HM inchworm is a full-body dynamic stretch and exercise.,"Full Body, Hamstrings, Shoulders, Abs",5.0,"Calisthenics, Fitness, Mobility",120
371,HM Right Side Hollow Hold with Pulse,The HM right side hollow hold with pulse is a core exercise that focuses on the right side of the body.,"Obliques, Abs",4.2,Calisthenics,144
372,HM Reverse Crunch with Frisbee,The HM reverse crunch with Frisbee is a reverse crunch variation that uses a Frisbee for added resistance or as a target.,Abs,3.2,"Fitness, Home Workouts",120
373,HM Left Side Bird-Dog,The HM left side bird-dog is a core stability exercise where you extend your left arm and right leg from an all-fours position.,"Abs, Lower Back, Glutes",2.8,"Pilates, Rehabilitation, Yoga",84
374,HM Left Side Crunch,The HM left side crunch is an oblique exercise where you crunch your left side.,Obliques,2.8,Strength Training,96
375,HM Left Side Hollow Hold With Pulse,The HM left side hollow hold with pulse is a core exercise that focuses on the left side of the body.,"Obliques, Abs",4.2,Calisthenics,144
376,HM Reverse Crunch,The HM reverse crunch is a core exercise that targets the lower abs.,Abs,3.0,Strength Training,120
377,HM Low Lunge With External Twist And Arm Reach,The HM low lunge with external twist and arm reach is a hip and thoracic spine mobility drill.,"Hip Flexors, Obliques, Glutes",2.5,"Mobility, Yoga",84
378,HM Mountain Climber,The HM mountain climber is a classic cardio and core exercise.,"Full Body, Abs, Shoulders, Hip Flexors",8.0,"Cardio, HIIT",144
379,HM Prison Sit-Up,The HM prison sit-up is a sit-up performed with your hands behind your head.,"Abs, Hip Flexors",3.8,Fitness,120
380,HM Plank Alternating Hip-Dip,The HM plank alternating hip-dip is a plank variation where you rotate your hips from side to side.,"Obliques, Abs",3.5,Fitness,120
381,HM Tuck-Up Get-Up,The HM tuck-up get-up is a core exercise that involves tucking your knees to your chest and then getting up to a standing position.,"Abs, Full Body",6.0,"Calisthenics, Fitness",144
382,HM Flutter Kick,"Flutter Kicks are a lower abdominal exercise. They involve small, rapid, alternating kicks with the legs while lying on your back with your legs raised.","Abs, Hip Flexors",3.8,"Military Training, Strength Training",120
383,HM Plank,The HM plank is a fundamental isometric core exercise.,Abs,2.8,Strength Training,96
384,McGill Pull-Up,The McGill pull-up is likely a pull-up variation with specific form cues emphasized by Dr. Stuart McGill for back health.,"Back, Lats, Biceps",6.0,"Rehabilitation, Strength Training",192
385,AM Leg Lift,"The captain's chair leg raise is an exercise that targets the abs and hip flexors. It involves an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Unlike the Captain’s chair knee raise, the legs are straight here.","Abs, Hip Flexors",4.5,"Bodybuilding, Strength Training",168
386,AM Decline Abs,"The decline sit-up is a core exercise that works the iliopsoas, quads, hip flexors, and adductors. The rectus abdominis and obliques are the stabilizers in this movement.","Abs, Hip Flexors",4.0,"Bodybuilding, Strength Training",144
387,Hanging crunch,"The hanging crunch an abdominal exercise that targets the rectus abdominis or ""six-pack"" muscles. It can be performed hanging from a bar, on a dip station or parallel bars, or if grip strength is a limitation, by placing the elbows in ab straps. If hanging from a straight bar is uncomfortable to the wrists or shoulders, you can also perform them hanging with a neutral grip (palms facing one another). It is similar to a hanging knee raise, but with more spinal curling and a more pronounced ""crunch"" at the top.","Abs, Hip Flexors",5.5,"Calisthenics, Strength Training",192
388,Tyler Holt Hanging Toes-To-Bar,The Tyler Holt hanging toes-to-bar is an advanced core exercise where you hang from a bar and bring your toes up to touch it.,"Abs, Hip Flexors, Lats",6.5,"Calisthenics, Crossfit, Gymnastics",192
389,Side plank,"The side plank is a popular isometric abdominal exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It is sometimes paired with the curl up and bird dog as the “McGill big three” for core strength and stability. It is performed for time and can work in a warm-up or in the core-focused portion of any workout.",Obliques,2.8,"Rehabilitation, Strength Training, Yoga",96
390,Bird dog-,"The bird dog is a core exercise designed to help strengthen and stabilize the posterior chain. It involves lifting an opposite-side arm and leg while in a bent-leg tabletop position. It is most commonly performed as part of a dynamic warm-up, or for mobility and muscle activation anytime.","Abs, Lower Back, Glutes, Shoulders",2.8,"Mobility, Pilates, Rehabilitation, Yoga",84
391,Single-leg curl up,"The single-leg curl up is a bodyweight abdominal movement that teaches and reinforces abdominal “bracing” for strength training. It is usually performed along with variations of the bird dog and side plank as the “McGill big three.” The curl up can be performed for time or for reps, with or without pauses at the top position, as part of a warm-up or the core-focused component of any workout.","Abs, Lower Back",2.5,Rehabilitation,84
392,Single-kettlebell windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.","Shoulders, Obliques, Hamstrings, Full Body",5.5,"Fitness, Kettlebell Training, Mobility",168
393,UNS Foam Roll Thigh,The UNS foam roll thigh is a self-myofascial release technique for the quadriceps and hamstrings.,"Quads, Hamstrings",2.0,"Mobility, Rehabilitation",84
394,UNS Inverted row,The UNS inverted row is a back exercise where you pull your chest up to a fixed bar.,"Back, Lats, Biceps",4.5,"Calisthenics, Strength Training",144
395,UNS T-spine rotation with reach,The UNS T-spine rotation with reach is a thoracic spine mobility exercise.,"Back, Obliques",2.0,"Mobility, Yoga",84
396,UNS Quadruped thoracic rotation,The Quadruped Thoracic Rotation is a mobility exercise that targets the thoracic spine. It helps to improve rotation in the upper back and relieve stiffness.,"Back, Obliques",2.0,"Mobility, Rehabilitation",84
397,UNS Pec stretch,The UNS pec stretch is a stretch for the chest muscles.,Chest,1.5,Mobility,72
398,UNS Lat stretch,The UNS lat stretch is a stretch for the latissimus dorsi muscles.,"Lats, Back",1.5,Mobility,72
399,UNS Foam Roll,The UNS foam roll refers to general foam rolling for self-myofascial release.,Full Body,2.0,"Mobility, Rehabilitation",84
400,UNS Foam Roll Lats,The UNS foam roll lats is a specific foam rolling technique for the latissimus dorsi.,"Lats, Back",2.0,"Mobility, Rehabilitation",84
401,UNS Rocking Adductor Stretch,The UNS rocking adductor stretch is a dynamic stretch for the inner thighs.,Inner Thighs,2.0,Mobility,84
402,UNS Bird Dog,The UNS bird dog is a core stability exercise.,"Abs, Lower Back, Glutes",2.8,"Pilates, Rehabilitation, Yoga",84
403,UNS Jumping Jack,The UNS jumping jack is a classic full-body cardio exercise.,Full Body,8.0,"Cardio, HIIT, Mobility",84
404,Ab wheel roll-out,The ab wheel roll-out is an exercise targeting the abdominals using an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of the best exercises for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.,"Abs, Lats, Shoulders",5.0,"Calisthenics, Crossfit, Strength Training",168
405,Bench mountain climber,"The bench mountain climber is a bodyweight exercise that works the core, shoulders, and lower body while burning a lot of calories. Placing the hands on an elevated surface such as a bench decreases the challenge to the shoulders, allowing lifters to focus their work on the other body parts. Mountain climber variations are usually performed at a fast pace for moderate to high reps, such as 8-12 reps per leg or more.","Abs, Shoulders, Hip Flexors, Full Body",7.0,"Cardio, Circuit Training",144
