Food Item,Food Group,Macronutrient Focus,Is Vitamin-Rich,Is Mineral-Rich,Is Vegan,Is Vegetarian,Is Gluten-Free,Is Dairy-Free,Is Nut-Free (General),Is Halal,Is Kosher,Processing Level,Culinary Usage,Health Impact,Contains Gluten,Contains Milk,Contains Eggs,Contains Fish,Contains Shellfish,Contains Peanuts,Contains Tree Nuts,Contains Soybeans,Contains Sesame,Contains Mustard,Contains Celery,Contains Sulphites
"Beef, steak, NFS",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, chuck",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, cube",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, flank",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, ribeye, NS as to fat eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, ribeye, lean and fat eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, ribeye, lean only eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, round",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, sirloin, NS as to fat eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, sirloin, lean and fat eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, sirloin, lean only eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, strip, NS as to fat eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, strip, lean and fat eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, strip, lean only eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, T-bone, NS as to fat eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, T-bone, lean and fat eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, T-bone, lean only eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, tenderloin",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, steak, country fried",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Variable,N,Highly Processed,Meal Component,Unhealthy,Y,N,Variable,N,N,N,N,N,N,N,N,N
"Beef, oxtails",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component; Ingredient,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, neck bones",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Ingredient,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, shortribs",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, cow head",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, roast",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, pot roast",Proteins; Vegetables,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,Variable,N
"Beef, stew meat",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, corned",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component; Ingredient,Moderate,N,N,N,N,N,N,N,N,N,N,N,Y
"Beef, brisket",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, sandwich steak",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, ground, raw",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, ground",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component; Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, ground, patty",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, bacon, cooked",Proteins; Oils and fats,Fat-rich; Protein-rich,N,N,N,N,Y,Y,Y,Variable,N,Processed,Side Dish; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, bacon, reduced sodium, cooked",Proteins; Oils and fats,Fat-rich; Protein-rich,N,N,N,N,Y,Y,Y,Variable,N,Processed,Side Dish; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beef, dried, chipped, uncooked",Proteins,Protein-rich,N,N,N,N,Y,Y,Y,Variable,N,Processed,Ingredient,Moderate,N,N,N,N,N,N,N,N,N,N,N,Variable
"Beef, dried, chipped, cooked in fat",Proteins; Oils and fats,Protein-rich; Fat-rich,N,N,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,Variable
Beef jerky,Proteins; Sweets and snacks,Protein-rich,N,N,N,N,Y,Y,Y,Variable,N,Highly Processed,Snack,Moderate,N,N,N,N,N,N,N,Variable,Variable,Variable,N,Variable
Baby Toddler beef,Proteins,Protein-rich,N,Y,N,N,Y,Y,Y,Y,N,Highly Processed,Baby/Toddler Meal,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, NFS",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component; Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, ground",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Processed,Ingredient; Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, carnitas",Proteins; Oils and fats,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Processed,Meal Component,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
Pork jerky,Proteins; Sweets and snacks,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Highly Processed,Snack,Moderate,N,N,N,N,N,N,N,Variable,Variable,Variable,N,Variable
"Pork, chop, NS as to fat eaten",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, chop, lean and fat eaten",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, chop, lean only eaten",Proteins,Protein-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, chop, coated, NS as to fat eaten",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,N,N,Highly Processed,Meal Component,Unhealthy,Y,N,Variable,N,N,N,N,N,N,N,N,N
"Pork, chop, coated, lean and fat eaten",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,N,N,Highly Processed,Meal Component,Unhealthy,Y,N,Variable,N,N,N,N,N,N,N,N,N
"Pork, chop, coated, lean only eaten",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,N,N,Highly Processed,Meal Component,Moderate,Y,N,Variable,N,N,N,N,N,N,N,N,N
"Pork, chop, stuffed",Proteins; Grains; Vegetables,Protein-rich; Fat-rich,N,Y,N,N,N,N,Y,N,N,Processed,Meal Component,Moderate,Y,N,Variable,N,N,N,N,N,N,N,Variable,N
"Pork, steak, NS as to fat eaten",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, steak, lean and fat eaten",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, steak, lean only eaten",Proteins,Protein-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, steak, coated",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,N,N,Highly Processed,Meal Component,Unhealthy,Y,N,Variable,N,N,N,N,N,N,N,N,N
"Pork, tenderloin",Proteins,Protein-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
Ham,Proteins,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Meal Component; Ingredient; Sandwich Meat,Moderate,N,N,N,N,N,N,N,N,N,N,N,Variable
"Ham, prosciutto",Proteins,Protein-rich; Fat-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Appetizer; Ingredient,Moderate,N,N,N,N,N,N,N,N,N,N,N,Variable
"Ham, canned",Proteins,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Highly Processed,Ingredient; Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,Variable
"Ham, ground",Proteins,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Ingredient,Moderate,N,N,N,N,N,N,N,N,N,N,N,Variable
"Pork, roast",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, roll",Proteins; Grains,Protein-rich; Carbohydrate-rich,N,N,N,N,N,N,Y,N,N,Processed,Sandwich Meat; Breakfast Meat,Moderate,Y,N,N,N,N,N,N,N,N,N,N,N
"Canadian bacon, cooked",Proteins,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Breakfast Meat; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,Variable
"Bacon, NS as to type of meat, cooked",Proteins; Oils and fats,Fat-rich; Protein-rich,N,N,N,N,Y,Y,Y,Variable,Variable,Processed,Side Dish; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,Variable
"Bacon, NS as to type of meat, reduced sodium, cooked",Proteins; Oils and fats,Fat-rich; Protein-rich,N,N,N,N,Y,Y,Y,Variable,Variable,Processed,Side Dish; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,Variable
"Pork bacon, NS as to fresh, smoked or cured, cooked",Proteins; Oils and fats,Fat-rich; Protein-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Side Dish; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,Variable
"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",Proteins; Oils and fats,Fat-rich; Protein-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Side Dish; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,Variable
"Pork bacon, smoked or cured, cooked",Proteins; Oils and fats,Fat-rich; Protein-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Side Dish; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,Variable
"Bacon or side pork, fresh, cooked",Proteins; Oils and fats,Fat-rich; Protein-rich,N,N,N,N,Y,Y,Y,N,N,Minimally Processed,Side Dish; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Pork bacon, smoked or cured, reduced sodium, cooked",Proteins; Oils and fats,Fat-rich; Protein-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Side Dish; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,Variable
"Fat back, cooked",Oils and fats; Proteins,Fat-rich,N,N,N,N,Y,Y,Y,N,N,Minimally Processed,Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Ribs, NFS",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,Variable,Variable,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, ribs",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, cracklings",Oils and fats; Proteins; Sweets and snacks,Fat-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Snack,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, ears",Proteins; Connective Tissue,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Minimally Processed,Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, bones",Proteins,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Minimally Processed,Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, pig's feet",Proteins; Connective Tissue,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Minimally Processed,Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Pork, pig's feet, pickled",Proteins; Connective Tissue,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Processed,Snack; Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,Variable
"Pork, ham hocks",Proteins,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,N,N,Processed,Ingredient,Moderate,N,N,N,N,N,N,N,N,N,N,N,Variable
"Pork, belly",Proteins; Oils and fats,Fat-rich; Protein-rich,N,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component; Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
Pork skin rinds,Oils and fats; Proteins; Sweets and snacks,Fat-rich,N,N,N,N,Y,Y,Y,N,N,Highly Processed,Snack,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
Baby Toddler ham,Proteins,Protein-rich,N,N,N,N,Y,Y,Y,N,N,Highly Processed,Baby/Toddler Meal,Moderate,N,N,N,N,N,N,N,N,N,N,N,Variable
Baby Toddler meat stick,Proteins; Sweets and snacks,Protein-rich,N,N,N,N,Y,Y,Y,Variable,Variable,Highly Processed,Baby/Toddler Snack,Moderate,N,N,N,N,N,N,N,Variable,N,N,N,Variable
"Lamb, NS as to cut",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component; Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Lamb, chop",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
"Lamb, ground",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Ingredient; Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
Goat,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Veal, chop",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Veal, ground",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Ingredient; Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
Mock chicken legs,Proteins; Grains,Protein-rich; Carbohydrate-rich,N,N,N,N,N,N,Y,N,N,Processed,Meal Component,Moderate,Y,N,Variable,N,N,N,N,N,N,N,N,N
Rabbit,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,Y,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Venison, NFS",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,Y,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Venison, steak",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,Y,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
Venison/deer jerky,Proteins; Sweets and snacks,Protein-rich,N,N,N,N,Y,Y,Y,Y,Y,Highly Processed,Snack,Healthy,N,N,N,N,N,N,N,Variable,Variable,Variable,N,Variable
Venison sausage,Proteins,Protein-rich; Fat-rich,N,N,N,N,Y,Y,Y,Y,Y,Processed,Meal Component; Ingredient,Healthy,N,N,N,N,N,N,N,Variable,N,Variable,N,Variable
Moose,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,Y,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
Bear,Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,Variable,Minimally Processed,Meal Component; Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
Caribou,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,Y,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
Bison,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,Y,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
Groundhog,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,Variable,Minimally Processed,Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
Opossum,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,Variable,Minimally Processed,Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
Squirrel,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,Variable,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
Beaver,Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,Variable,Minimally Processed,Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
Raccoon,Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,Variable,Minimally Processed,Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
Armadillo,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,Variable,Minimally Processed,Meal Component,Variable,N,N,N,N,N,N,N,N,N,N,N,N
Wild pig,Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,N,N,Minimally Processed,Meal Component; Ingredient,Variable,N,N,N,N,N,N,N,N,N,N,N,N
Ostrich,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,Y,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part and cooking method, NS as to skin eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part and cooking method, skin eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part and cooking method, skin not eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, rotisserie, NS as to skin eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, rotisserie, skin eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, rotisserie, skin not eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, stewed, NS as to skin eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, stewed, skin eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, stewed, skin not eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, grilled without sauce, skin eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, grilled without sauce, skin not eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",Proteins; Condiments,Protein-rich,Y,Y,N,N,Y,Y,Variable,Variable,N,Processed,Meal Component,Variable,Variable,N,N,N,N,N,N,Variable,N,Variable,Variable,Variable
"Chicken, NS as to part, grilled with sauce, skin eaten",Proteins; Condiments,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Variable,Variable,N,Processed,Meal Component,Variable,Variable,N,N,N,N,N,N,Variable,N,Variable,Variable,Variable
"Chicken, NS as to part, grilled with sauce, skin not eaten",Proteins; Condiments,Protein-rich,Y,Y,N,N,Y,Y,Variable,Variable,N,Processed,Meal Component,Variable,Variable,N,N,N,N,N,N,Variable,N,Variable,Variable,Variable
"Chicken, NS as to part, sauteed, skin eaten",Proteins; Oils and fats,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, sauteed, skin not eaten",Proteins; Oils and fats,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, fried, coated, skin / coating eaten",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Variable,N,Highly Processed,Meal Component,Unhealthy,Y,N,Variable,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, fried, coated, skin / coating not eaten",Proteins; Oils and fats,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,Variable,N,Highly Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, baked, coated, skin / coating eaten",Proteins; Grains,Protein-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Variable,N,Processed,Meal Component,Moderate,Y,N,Variable,N,N,N,N,N,N,N,N,N
"Chicken, NS as to part, baked, coated, skin / coating not eaten",Proteins,Protein-rich,N,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken breast, NS as to cooking method, skin eaten",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken breast, NS as to cooking method, skin not eaten",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chicken breast, baked or broiled, skin eaten, from pre-cooked",Proteins,Protein-rich; Fat-rich,Y,Y,N,N,Y,Y,Y,Variable,N,Processed,Meal Component,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
