Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
0.85,,0.93,,1.34,,,,10.0,,,,,80.0,70.2,0.062,,0.16,387.0,16.9,4.64,12.8,0.07,0.07,,,,1.0,1.0,1.0,,,,,2.2,0.69,0.58,,0.78,0.72,,1.2,,,1.34,,,1.6,,14.9,,,,17.0,,0.007,0.39,4.05,4.01,0.45,,,,,,,,,,,0.64,0.6,164.0,,234.0,0.6,14.6,,0.217,,,,0.44,,7.82,,4.54,,,,,,,16.8,0.62,1390.0,,,,,0.07,,,0.339,0.68,,36.2,0.15,0.51,0.8,,0.41,0.26,,0.6,35.3,1.67,,Not included in a food category,,6,Cured Meats (as a flavor base),100.0,0.4,0.2,,6.0
,,,0.48,,,,,14.0,,8.81,,480.0,,25.2,0.129,,,40.0,0.024,0.082,0.046,,,,1.5,,23.0,23.0,23.0,,2.66,,2.66,,,,,1.03,,,,569.0,,,,,0.012,,0.012,,,,23.0,,0.22,,0.93,0.063,0.019,,,,,,,,,,,0.334,,43.0,,322.0,,1.87,,0.091,,,,0.003,,0.031,,0.011,,,,,,,0.5,,9.0,,,,,,,,0.094,,5.3,0.4,,,,48.0,,0.506,143.7,,88.02,0.26,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chili (Piri-piri / Gindungo),100.0,14.0,0.69,0.002,5.0
,,,,,,,,,,,12240.0,18360.0,,,,,,884.0,37.04,10.5,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,,36.833,,,,,,,,,9.689,0.803,,,,,,,,,,,,,,71.0,,,,,,0.007,0.021,,0.741,,43.957,,4.266,0.245,0.054,0.005,,,,,,,,,,,,,,,,,100.0,,,,2550.0,,,,,,,,Fats and Oils,"Gluten-Free,Vegan,Vegetarian",6,Palm Oil (Red),100.0,8.1,15.9,,6.8
,,,0.48,,,,,14.0,,8.81,,480.0,,25.2,0.129,,,40.0,0.024,0.082,0.046,,,,1.5,,23.0,23.0,23.0,,2.66,,2.66,,,,,1.03,,,,569.0,,,,,0.012,,0.012,,,,23.0,,0.22,,0.93,0.063,0.019,,,,,,,,,,,0.334,,43.0,,322.0,,1.87,,0.091,,,,0.003,,0.031,,0.011,,,,,,,0.5,,9.0,,,,,,,,0.094,,5.3,0.4,,,,48.0,,0.506,143.7,,88.02,0.26,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chili (Gindungo / Piri-piri),100.0,14.0,0.69,0.002,5.2
,,,1.7,,,,,162.0,,14.4,,3342.0,,,0.197,,,71.0,0.06,0.22,0.12,,,,2.4,,274.0,274.0,274.0,,,,,,,,,4.9,,,,252.0,,,,,,,,,,,62.0,,0.856,,1.37,0.16,0.06,,,,,,,,,,,0.106,,63.0,,201.0,,6.5,,0.28,,,,,,,,,,,,,,,0.9,,16.0,,,,,,,,0.23,,,1.0,,,,278.0,,0.19,310.0,,76.4,0.26,,Vegetables and Vegetable Products,"Gluten-Free,Vegan,Vegetarian",6,Cassava Leaves (Nsaka),100.0,85.8,1.02,,6.5
1.096,,3.149,2.1,3.033,176.0,,,92.0,16.0,16.13,,1.0,,52.4,1.144,,0.284,567.0,24.436,15.558,6.892,,,,8.5,,240.0,240.0,240.0,,0.14,,0.14,5.148,1.503,0.648,,4.58,0.999,,1.691,,,0.944,0.009,,0.088,,23.606,0.718,0.005,0.005,168.0,,1.934,0.284,12.066,15.545,0.103,,0.006,,,,,,,,,1.767,1.341,376.0,209.0,705.0,1.229,25.8,,0.135,0.016,0.014,,0.093,,4.21,,2.05,0.334,0.099,0.005,,,,7.2,1.246,18.0,0.44,17.0,4.18,,,,,0.64,0.789,4.7,49.2,0.297,1.055,1.178,,,0.348,,,6.5,3.27,"Nuts,Peanuts",peas,"Gluten-Free,Vegan,Vegetarian",6,Peanuts (Ginguba),100.0,0.7,8.33,,6.5
,,,,,,,,14.0,,8.81,29.0,534.0,,,0.129,,,40.0,,,,,,,1.5,,,,23.0,,,,,,,,,1.03,,,,915.0,,,,,,,,,,,23.0,,0.191,,1.02,,,,,,,,,,,,,,,43.0,,322.0,,1.87,,0.08,,,,,,,,,,,,,,,0.5,,9.0,,,,,,,,0.07,,5.3,0.44,,,,48.0,,0.51,144.0,,88.02,0.26,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chili (Gindungo),100.0,14.0,0.69,0.002,5.2
,,,,,,,,121.0,,4.66,,,13.0,,0.007,,,61.0,0.8,0.1,2.1,,,,,,,,5.0,,,,,,,,,0.05,,4.66,,,,,,,,,,,,,12.0,,0.005,,0.083,,,,,,,,,,,,,,,95.0,,155.0,,3.47,27.0,0.183,,,,,,,,,,,,,,,2.2,,46.0,,,,,,,,0.03,,4.66,3.25,,,,27.0,0.37,0.046,0.7,,87.9,0.41,Milk,Cheese,Vegetarian,6,Fermented Milk (as a souring agent and flavor base),100.0,0.1,0.06,,4.2
,,,,,,,,4.0,,,,,256.0,,,,,900.0,28.7,3.7,61.9,1.0,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,,2.8,0.8,,,,,,,,,,,,,3.0,,5.0,,0.28,840.0,,2.4,2.7,,10.3,,27.6,,10.0,,,,3.1,1.8,1.1,1.0,,2.0,,,,,0.8,,,,,,99.5,,,,840.0,0.02,,,,0.2,0.01,Milk,Butter and animal fats,Vegetarian,6,Ghee / Clarified Butter,100.0,8.6,2.8,0.2,6.5
,,,,,,,,45.0,,15.3,,,,,1.2,,,590.0,15.7,22.3,9.3,,,,10.0,,,,58.0,,,,,,,,,7.3,,,,,,,,,,,15.5,,,,320.0,,1.5,,2.5,22.3,,,,,,,,,,,,,,940.0,,610.0,,28.3,,0.21,,,,,,,,,,,,,,,4.0,,20.0,,,,,,,,0.15,,0.9,47.3,,,,,,0.08,,,5.3,7.2,,Nuts and seeds,Vegan,6,Melon Seeds (egusi),100.0,13.4,2.8,,6.5
,,,,,,,,99.0,,3.63,,5626.0,,,0.13,,,23.0,,,,,,,2.2,,194.0,194.0,194.0,,,,,,,,,2.71,,,,12198.0,,,,,,,,,,,79.0,,0.897,,0.724,,,,,,,,,,,,,,,49.0,,558.0,,2.86,,0.189,,,,,,,,,,,,,,,1.0,,79.0,,,,,,,,0.078,,0.42,0.39,,,,469.0,,0.195,28.1,,91.4,0.53,,Vegetables and Vegetable Products,Vegan,6,Wild Greens / Herbs,100.0,482.9,2.03,,6.0
,,,0.71,,,0.5,,18.0,,8.8,30.0,520.0,,13.6,0.129,3.0,,40.0,0.032,0.155,0.05,,,,1.5,,23.0,23.0,23.0,,,,,,,,,1.03,,,,754.0,,,,,,,,,,,32.0,,0.22,,5.1,,,,,,,,,,,,,,,43.0,,322.0,,1.87,,0.09,,,,,,,,,,,,,,,0.5,,9.0,,,,,,,,0.09,,5.3,0.4,,,,48.0,,0.506,242.5,,88.02,0.27,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Chili Peppers (especially Scotch Bonnet),100.0,14.9,0.69,,4.8
,,,3.48,,,,,13.0,,1.63,,780.0,,10.6,0.038,,,12.0,0.038,0.183,0.02,,,,1.6,,10.0,10.0,10.0,,,,,,,,,0.45,,,,,,,,,,,,,,,13.0,,0.126,,1.32,,,,,,,,,,,,,,,22.0,,166.0,,0.63,,0.05,,,,,,,,,,,,,,,0.4,,1680.0,,,,,,,,0.04,,,0.36,,,,65.0,,0.136,4.5,,93.9,0.13,,Sauces,"Gluten-Free,Vegan,Vegetarian",6,Hot Sauce,100.0,10.4,0.68,,3.5
,,,4.67,,,,,661.0,,72.12,,228.0,,54.6,0.228,,,263.0,0.457,2.564,2.333,,,,21.6,,109.0,109.0,109.0,,,,,,,,,7.0,,,,302.0,,,,,,,,,,,135.0,,2.712,,2.9,,,,,,,,,,,,,,,113.0,,1044.0,,6.09,,0.06,,,,,,,,,,,,,,,2.8,,21.0,,,,,,,,0.106,,,8.69,,,,19.0,,0.177,0.7,,8.43,2.16,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Allspice (Pimento),100.0,23.2,0.71,0.002,6.0
,,,0.48,,,,,10.0,,6.03,,1624.0,,5.6,0.125,,,31.0,0.012,0.158,0.03,,,,2.1,,46.0,46.0,46.0,,,,,,,,,0.43,,,,487.0,,,,,,,,,,,14.0,,0.117,,0.805,,,,,,,,,,,,,,,26.0,,211.0,,0.99,,0.028,,,,,,,,,,,,,,,0.1,,3.0,,,,,,,,0.057,,4.24,0.3,,,,157.0,,0.28,127.7,,92.2,0.2,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Bell Peppers,100.0,4.9,3.16,,5.0
,,,0.71,,,0.5,,18.0,,8.8,30.0,520.0,,13.6,0.129,3.0,,40.0,0.032,0.155,0.05,,,,1.5,,23.0,23.0,23.0,,,,,,,,,1.03,,,,754.0,,,,,,,,,,,32.0,,0.22,,5.1,,,,,,,,,,,,,,,43.0,,322.0,,1.87,,0.09,,,,,,,,,,,,,,,0.5,,9.0,,,,,,,,0.09,,5.3,0.4,,,,48.0,,0.506,242.5,,88.02,0.27,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Scotch Bonnet Peppers,100.0,14.9,0.69,,4.5
,,,,,,,,14.0,,8.8,,534.0,,,0.137,,,40.0,0.027,0.058,0.029,,,,1.5,,23.0,23.0,23.0,,,,,,,,,1.0,,,,550.0,,,,,0.003,,0.024,,,,23.0,,0.191,,1.244,0.046,0.012,,,,,,,,,,,0.32,,43.0,,322.0,,1.87,,0.086,,,,0.001,,0.021,,0.003,,,,,,,0.3,,9.0,,,,,,,,0.076,,5.1,0.22,,,,48.0,,0.506,242.5,,88.02,0.26,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chili Peppers,100.0,14.0,0.69,0.002,4.8
,,,1.02,,,,,14.0,,15.23,,,,15.3,0.435,,,354.0,1.43,0.366,29.695,,,,9.0,,26.0,26.0,26.0,,0.89,,0.99,,,,,2.43,,,,,,,0.013,,0.061,,1.328,0.024,,,32.0,,1.503,,0.547,0.334,0.032,,,,,,,,,,,0.301,,113.0,,356.0,,3.33,,0.022,1.748,15.019,,5.689,,2.816,,0.838,0.033,,,0.03,0.207,2.784,10.1,,20.0,,,4.35,,,,,0.066,,6.23,33.48,,,,,,0.054,3.3,,46.99,1.1,"Nuts,Nuts (coconut)",Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Coconut / Coconut Milk,100.0,,0.24,,6.5
,,,,,,,,200.0,,70.0,,,,,,,,375.0,,,,,,,20.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Annatto (Achiote),100.0,56.3,10.22,0.002,6.2
,,,1.49,,,,,67.0,,3.67,,3937.0,,12.8,0.246,,,23.0,0.021,0.198,0.016,,,,2.8,,62.0,62.0,62.0,,0.47,,0.4,,,,,1.77,,,,865.0,,,,,0.002,,0.019,,,,26.0,,0.333,,1.114,0.089,0.109,,,,,,,,,,,0.2,,48.0,,521.0,,2.13,,0.162,,,,,,0.013,,0.003,,,,,,,0.9,,46.0,,,,,,,,0.063,,0.87,0.52,,,,337.0,,0.149,27.0,,92.21,0.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cilantro / Culantro (Shado Beni),100.0,310.0,1.58,,6.5
,,,0.78,,,,,16.0,,5.46,,,,11.1,0.207,,,230.0,1.009,0.249,21.109,,,,2.2,,16.0,16.0,16.0,,,,,,,,,1.64,,,,,,,0.01,,0.05,,0.93,0.019,,,37.0,,0.916,,0.301,0.226,0.023,,,,,,,,,,,0.199,,100.0,,263.0,,2.29,,0.022,1.492,12.833,,4.864,,2.405,,0.715,0.028,,,0.026,0.177,2.379,6.8,,15.0,,,,,,,,0.029,,3.34,23.84,,,,,,0.048,2.8,,67.63,0.66,"Nuts,Nuts (coconut)",Milk,"Gluten-Free,Vegan,Vegetarian",6,Coconut Milk / Cream,100.0,0.2,0.14,,6.2
0.088,,0.076,,0.174,18.0,,,72.0,,7.34,,697.0,,,0.039,,0.016,32.0,0.013,0.093,0.038,,,,2.6,,64.0,,,,,,,0.231,0.072,0.038,,1.25,0.063,,0.098,,,0.091,,,,,0.009,,,,20.0,,0.16,0.019,0.27,0.046,0.047,,,,,,,,,,,,0.061,37.0,18.0,276.0,0.053,1.83,,0.07,,,,,,0.023,,0.003,,,,,,,0.9,0.078,16.0,,,,,,,,0.05,0.06,2.3,0.19,0.019,0.046,0.088,58.0,,0.04,18.8,,89.9,0.22,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Escallion / Scallions / Green Onions,100.0,207.0,0.38,,6.0
0.094,,0.093,,0.198,2.0,,,14.0,,8.9,,1800.0,,,0.12,,0.015,40.0,0.02,0.19,0.04,,,,1.5,,23.0,,,,,,,0.283,0.076,0.041,,1.0,0.064,,0.11,,,0.097,,,,,0.008,,,,23.0,,0.19,0.022,0.9,0.14,0.045,,,,0.001,0.004,,,,0.008,,,0.064,37.0,2.0,322.0,0.057,1.9,,0.08,,,,,,0.038,,0.001,,,,,,,0.4,0.08,9.0,,,,,,,,0.09,0.063,5.1,0.4,0.024,0.048,0.088,150.0,,0.5,144.0,,88.0,0.25,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,"Hot Peppers (Scotch Bonnet, Habanero)",100.0,14.3,0.69,0.002,5.0
0.655,,0.702,,1.341,137.0,,,229.0,13.0,53.99,,29550.0,,,0.771,5571.0,0.158,289.0,1.638,7.152,2.152,,,,34.9,,49.0,,,,,,,2.404,0.638,0.354,,21.1,0.583,,0.953,18130.0,,0.817,,,0.098,,1.54,,,,178.0,,2.97,0.169,9.38,6.845,0.106,,,,,,,,,,,,0.537,306.0,158.0,2270.0,0.499,13.99,,0.33,,,,0.067,,1.341,,0.089,0.05,,,,,,4.5,0.623,68.0,,8.0,,,,,,0.33,0.485,10.01,12.89,0.147,0.37,0.66,2463.0,,2.14,30.6,,8.32,4.33,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Paprika (Pimentón),100.0,45.9,29.1,0.002,5.5
0.569,,0.612,,1.258,130.0,,,148.0,12.0,56.63,,28726.0,,,0.37,2176.0,0.126,318.0,2.41,9.77,3.26,,,,34.2,,106.0,,,,,,,1.94,0.53,0.269,,7.8,0.494,,0.811,2690.0,,0.686,,,0.062,,2.24,0.007,,,152.0,,1.3,0.141,8.7,9.38,0.222,,,,0.001,,,,,,,,0.446,293.0,150.0,2014.0,0.43,12.01,,0.92,,,,0.126,0.007,1.94,0.016,0.166,0.009,0.001,,,,,7.5,0.529,30.0,,8.0,,,,,,0.32,0.428,10.33,17.29,0.108,0.329,0.548,4800.0,,2.45,76.4,,10.4,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Red Pepper Flakes (Ají Molido),100.0,80.3,29.83,0.002,5.0
,,,99.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38758.0,,,,,,,,,,,,,,,,,,,,0.17,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Salt (especially coarse grilling salt),100.0,,,,7.0
,,,0.36,,,,,7.0,,0.6,,,,0.7,0.01,,,19.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,0.03,,,,,,,,,,,,,,,5.0,,0.023,,0.019,,,,,,,,,,,,,0.004,,11.0,,131.0,,0.04,,0.005,,,,,,,,,,,,,,,,,7.0,,,,,,,,0.001,,0.6,,,,,,,0.01,,,93.4,0.05,,Sauces,"Gluten-Free,Vegan,Vegetarian",6,Vinegar (especially for chimichurri),100.0,,,,2.8
,,,,,,,,25.0,,13.0,,,,,,,,55.0,,,,,,,4.5,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.4,,,,,,,15.0,,87.5,,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Calafate Berries,100.0,14.1,0.93,,3.3
,,,,,,,,30.0,,16.0,,,,,,,,65.0,,,,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,0.7,,,,,,,25.0,,82.0,,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Maqui Berries,100.0,14.1,0.93,,3.5
,,,7.14,,,,,229.0,,53.99,,14777.0,,80.4,0.803,4780.0,,289.0,1.06,6.63,2.22,,,,34.9,,49.0,49.0,49.0,,,,,,,,,21.1,,,,24080.0,3064.0,,0.01,,0.06,,0.99,,,,178.0,,2.79,,9.29,6.35,0.28,,,,,,,,,,,2.64,,314.0,,2200.0,,13.9,,1.07,,,,0.04,,1.34,,0.71,0.05,0.02,,,,,2.4,,68.0,,,,,,,,0.33,,10.34,12.9,,,,2463.0,,2.14,80.8,,9.68,4.33,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Paprika (especially smoked),100.0,80.7,29.1,0.002,5.5
,,,2.1,,,,,169.0,,38.2,,2597.0,,10.2,0.11,112.0,,162.0,0.026,0.151,0.02,,,,24.1,,16.0,16.0,16.0,,,,,,,,,1.08,,,,594.0,,,,,,,,,,,69.0,,0.85,,1.3,0.1,0.051,,,,,,,,,,,0.3,,61.0,,429.0,,1.6,,0.14,,,,,,0.015,,0.005,,,,,,,0.3,,4.0,,,,,,,,0.035,,2.58,0.3,,,,217.0,,0.076,426.0,,63.2,0.34,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Rosehip (Mosqueta),100.0,25.9,5.84,,3.0
,,,99.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38758.0,,,,,,,,,,,,,,,,,,,,0.17,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Salt (coarse),100.0,,,,7.0
,,,,,,,,14.0,,8.81,30.0,534.0,,14.3,0.129,100.0,,40.0,,,,,,,1.5,,23.0,23.0,23.0,,,,,,,,,1.03,,,,594.0,,,,,,,,,,,23.0,,0.201,,0.993,,,,,,,,,,,,,,,43.0,,322.0,,1.87,,0.09,,,,,,,,,,,,,,,0.3,,9.0,,,,,,,,0.08,,5.3,0.44,,,,48.0,,0.506,144.0,,88.02,0.26,,Spices and Herbs,"Vegan,Vegetarian",6,Chili Peppers (Ají),100.0,14.1,0.69,0.002,5.0
,,,,,,,,26.0,,9.32,3.0,3.0,,5.1,0.037,,,29.0,,,,,,,2.8,,11.0,11.0,11.0,,,,,,,,,0.6,,,,11.0,,,,,,,,,,,8.0,,0.03,,0.1,,,,,,,,,,,,,0.16,,16.0,,138.0,,1.1,,0.02,,,,,,,,,,,,,,,0.4,,2.0,,,,,,,,0.04,,2.5,0.3,,,,1.0,,0.08,53.0,,88.98,0.06,,Fruits and Fruit Juices,"Vegan,Vegetarian",6,"Citrus (Lime, Lemon, Sour Orange)",100.0,14.1,0.15,,2.5
,,,,,,,,834.0,,74.96,,3790.0,,27.2,0.232,,,313.0,,,,,,,26.3,,180.0,180.0,180.0,,,,,,,,,46.5,,,,610.0,,,,,,,,,,,120.0,,2.285,,2.005,,,,,,,,,,,,,0.416,,113.0,,529.0,,7.61,,0.421,,,,,,,,,,,,,,,2.8,,23.0,,,,,,,,0.109,,1.8,8.36,,,,309.0,,1.74,46.5,,8.1,3.7,,Spices and Herbs,"Vegan,Vegetarian",6,Laurel (Bay Leaf),100.0,704.9,4.55,,5.5
,,,,,,,,16.0,,38.06,,2.0,,21.6,0.1,,,160.0,,,,,,,1.8,,27.0,27.0,27.0,,,,,,,,,0.27,,,,20.0,,,,,,,,,,,21.0,,0.384,,0.854,,,,,,,,,,,,,0.108,,27.0,,271.0,,1.36,,0.048,,,,,,,,,,,,,,,0.8,,14.0,,,,,,,,0.087,,1.7,0.28,,,,1.0,,0.088,20.6,,59.68,0.34,,Vegetables and Vegetable Products,"Vegan,Vegetarian",6,Manioc / Cassava (Mandioca),100.0,1.9,0.19,,6.5
,,,,,,,360.0,,,50.8,,,,,,,,279.0,,,,,,,23.3,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,1000.0,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Yerba Mate (as an ingredient/flavor),100.0,770.6,3.89,,6.0
0.076,,0.076,,0.151,,,,18.0,,8.8,34.0,534.0,,14.3,0.129,36.0,0.023,40.0,0.09,0.2,0.04,,,,1.5,,23.0,23.0,,,,,,0.221,0.063,0.045,,1.03,0.076,,0.106,1085.0,,0.096,,,,,0.09,,,,24.0,,0.22,0.023,0.96,0.11,0.09,,,,,,,,,,,0.337,0.06,43.0,,322.0,0.067,1.87,,0.09,,,,,,0.03,,0.01,,,,,,,0.5,0.078,7.0,,,,,,,,0.08,0.057,5.3,0.44,0.021,0.045,0.084,48.0,,0.51,144.0,,88.02,0.26,,Vegetables and Vegetable Products,"Gluten-Free,Vegan,Vegetarian",6,Ají (various local chili peppers),100.0,14.9,0.69,,5.2
0.612,,0.569,,1.24,,12.8,,148.0,,56.63,,13134.0,,50.1,0.378,,0.161,318.0,3.63,9.89,3.26,,,,27.2,,46.0,46.0,,,,,,2.162,0.485,0.322,,7.8,0.589,,0.94,2087.0,,0.803,,,0.09,,3.48,0.01,,,152.0,,1.838,0.198,8.71,9.22,0.67,,,,,,,,,,,2.519,0.589,293.0,,2014.0,0.473,12.01,,0.92,,0.01,0.01,0.03,0.01,2.33,0.01,0.78,0.03,,,,,,24.5,0.506,30.0,,,,,,,,0.33,0.473,10.34,17.29,0.19,0.407,0.687,2185.0,,2.45,76.4,,8.76,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Ají Molido (Red Pepper Flakes),100.0,80.3,2.98,0.002,5.5
0.354,,0.375,,0.778,,,,834.0,,74.9,,3700.0,,18.5,0.22,,0.108,313.0,1.66,3.08,2.29,,,,26.3,,105.0,105.0,,,,,,1.05,0.364,0.198,,43.0,0.334,,0.589,6180.0,,0.456,,,0.01,,1.65,,,,121.0,,2.32,0.14,2.01,2.98,0.1,,,,,,,,,,,0.21,0.399,113.0,,529.0,0.279,7.61,,0.42,,,,0.01,,1.71,,0.57,,,,,,,3.4,0.323,23.0,,,,,,,,0.05,0.301,,8.36,0.094,0.245,0.437,309.0,,1.74,46.5,,5.44,3.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Bay Leaf (Laurel),100.0,,0.76,,6.0
0.672,,1.002,,1.748,10.0,,,931.0,4.0,44.28,,761.0,,20.1,0.468,,0.301,375.0,14.04,3.1,1.54,,,,10.5,,10.0,10.0,,,,,,2.569,0.643,0.477,,66.36,0.686,,1.096,,,0.963,,,0.01,,13.97,,,,366.0,,3.333,0.368,4.579,3.1,,,,,,,,,,,,0.25,0.741,499.0,17.0,1788.0,0.641,17.81,,0.327,,,,0.06,,0.91,,0.5,,,,,,,13.5,0.781,168.0,,3.0,2.25,,,,,0.628,0.722,2.25,22.27,0.264,0.528,0.932,64.0,,0.4,7.7,,8.06,4.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cumin (Comino),100.0,5.4,3.33,0.002,6.0
,,,,,,,,,,,,,95.0,,,,,900.0,45.1,11.26,39.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.85,,,,,,,,,9.9,0.95,,,,,,,,,,,,,,,,,,,,,,,1.15,,23.36,,14.5,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,Butter and animal fats,,6,Lard / Beef Fat,100.0,5.9,6.26,0.232,7.0
,,,99.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38758.0,,,,,,,,,,,,,,,,,,,,0.17,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Salt (especially coarse Sal Parrillera),100.0,,,,7.0
,,,2.37,,,,,50.0,,79.18,,,,11.1,0.31,,,299.0,,,,,,,3.7,,5.0,,,,28.59,,27.67,,,,,1.88,,,,,,,,,,,,,,,32.0,0.3,0.3,,0.766,,,,,,,,,,,,,,,98.0,,749.0,,3.07,,0.082,,,,,,,,,,,,,,,0.6,,11.0,,,0.77,,,,,0.106,,59.19,0.46,,,,,,0.174,2.3,,15.4,0.22,,Dried fruits,"Gluten-Free,Vegan,Vegetarian",6,"Dried Fruits (apricots, plums, raisins)",100.0,3.5,0.26,,4.0
