match_type,value
intersection,"chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce"
intersection,chicken or turkey and noodles with cheese sauce
intersection,chicken or turkey and noodles with cream or white sauce
intersection,chicken or turkey and noodles with gravy
intersection,chicken or turkey and noodles with mushroom sauce
intersection,chicken or turkey and noodles with soy-based sauce
intersection,chicken or turkey and noodles with tomato-based sauce
intersection,"chicken or turkey and noodles, no sauce"
intersection,chicken or turkey and potatoes with gravy
intersection,chicken or turkey and rice with cream sauce
intersection,chicken or turkey and rice with mushroom sauce
intersection,chicken or turkey and rice with soy-based sauce
intersection,chicken or turkey and rice with tomato-based sauce
intersection,"chicken or turkey and rice, no sauce"
intersection,"chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce"
intersection,"chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy"
intersection,"chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce"
intersection,"chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
intersection,"chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce"
intersection,"chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce"
intersection,"chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy"
intersection,"chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce"
intersection,"chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
intersection,"chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce"
intersection,chicken or turkey cacciatore
intersection,"chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing"
intersection,"chicken or turkey cake, patty, or croquette"
intersection,chicken or turkey chow mein or chop suey with noodles
intersection,"chicken or turkey chow mein or chop suey, no noodles"
intersection,chicken or turkey cordon bleu
intersection,"chicken or turkey creole, without rice"
intersection,chicken or turkey divan
intersection,chicken or turkey fricassee
intersection,"chicken or turkey fricassee, no sauce, no potatoes, puerto rican style"
intersection,"chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, puerto rican style"
intersection,"chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
intersection,"chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
intersection,"chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing"
intersection,"chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing"
intersection,chicken or turkey hash
intersection,chicken or turkey parmigiana
intersection,chicken or turkey salad with egg
intersection,chicken or turkey salad with nuts and/or fruits
intersection,"chicken or turkey salad, made with any type of fat free dressing"
intersection,"chicken or turkey salad, made with creamy dressing"
intersection,"chicken or turkey salad, made with italian dressing"
intersection,"chicken or turkey salad, made with light creamy dressing"
intersection,"chicken or turkey salad, made with light italian dressing"
intersection,"chicken or turkey salad, made with light mayonnaise"
intersection,"chicken or turkey salad, made with light mayonnaise-type salad dressing"
intersection,"chicken or turkey salad, made with mayonnaise"
intersection,"chicken or turkey salad, made with mayonnaise-type salad dressing"
intersection,"chicken or turkey shish kabob with vegetables, excluding potatoes"
intersection,chicken or turkey souffle
intersection,chicken or turkey tetrazzini
intersection,chicken or turkey with cheese sauce
intersection,chicken or turkey with cream sauce
intersection,chicken or turkey with dumplings
intersection,chicken or turkey with mushroom sauce
intersection,chicken or turkey with stuffing
intersection,chicken or turkey with teriyaki
intersection,"chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing"
intersection,"chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
intersection,"chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
intersection,"chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy"
intersection,"chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy"
intersection,"chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
only_in_test,"chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
intersection,"chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
intersection,"chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
intersection,"chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
only_in_foods,"chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
intersection,"chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"
intersection,"chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
intersection,"chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
intersection,"chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
intersection,"chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
intersection,"chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
intersection,"chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
intersection,"chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
intersection,"chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
intersection,"chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
intersection,"chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"
intersection,"chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
intersection,"chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
intersection,"chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
intersection,"chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
intersection,"chicken or turkey, potatoes, corn, and cheese, with gravy"
intersection,"chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
intersection,"chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
intersection,"chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
intersection,"chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
intersection,"chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
intersection,"chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
intersection,"chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"
intersection,"chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
intersection,"chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
intersection,"chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
intersection,"chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"
intersection,"chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
intersection,"chicken or turkey, rice, corn, and cheese, with gravy"
intersection,"chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
intersection,"chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
intersection,"chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
intersection,"chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce"
intersection,"chicken patty, breaded"
intersection,"chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal"
intersection,chicken salad sandwich on wheat
intersection,chicken salad sandwich on white
intersection,chicken salad sandwich wrap
intersection,chicken salad spread
intersection,chicken skin
intersection,"chicken tenders or strips, breaded, from fast food"
intersection,"chicken tenders or strips, breaded, from frozen"
intersection,"chicken tenders or strips, breaded, from other sources"
intersection,"chicken tenders or strips, breaded, from restaurant"
intersection,"chicken tenders or strips, breaded, from school lunch"
intersection,"chicken tenders or strips, nfs"
intersection,"chicken thigh, baked or broiled, skin eaten, from fast food / restaurant"
intersection,"chicken thigh, baked or broiled, skin eaten, from pre-cooked"
intersection,"chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant"
intersection,"chicken thigh, baked or broiled, skin not eaten, from pre-cooked"
intersection,"chicken thigh, baked, broiled, or roasted, skin eaten, from raw"
intersection,"chicken thigh, baked, broiled, or roasted, skin not eaten, from raw"
intersection,"chicken thigh, baked, coated, skin / coating eaten"
intersection,"chicken thigh, baked, coated, skin / coating not eaten"
intersection,"chicken thigh, fried, coated, prepared skinless, coating eaten, from raw"
intersection,"chicken thigh, fried, coated, skin / coating eaten, from fast food"
intersection,"chicken thigh, fried, coated, skin / coating eaten, from pre-cooked"
intersection,"chicken thigh, fried, coated, skin / coating eaten, from raw"
intersection,"chicken thigh, fried, coated, skin / coating eaten, from restaurant"
intersection,"chicken thigh, fried, coated, skin / coating not eaten, from fast food"
intersection,"chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked"
intersection,"chicken thigh, fried, coated, skin / coating not eaten, from raw"
intersection,"chicken thigh, fried, coated, skin / coating not eaten, from restaurant"
intersection,"chicken thigh, grilled with sauce, skin eaten"
intersection,"chicken thigh, grilled with sauce, skin not eaten"
intersection,"chicken thigh, grilled without sauce, skin eaten"
intersection,"chicken thigh, grilled without sauce, skin not eaten"
intersection,"chicken thigh, ns as to cooking method, skin eaten"
intersection,"chicken thigh, ns as to cooking method, skin not eaten"
intersection,"chicken thigh, rotisserie, skin eaten"
intersection,"chicken thigh, rotisserie, skin not eaten"
intersection,"chicken thigh, sauteed, skin eaten"
intersection,"chicken thigh, sauteed, skin not eaten"
intersection,"chicken thigh, stewed, skin eaten"
intersection,"chicken thigh, stewed, skin not eaten"
intersection,"chicken wing, baked or broiled, from fast food / restaurant"
intersection,"chicken wing, baked or broiled, from pre-cooked"
intersection,"chicken wing, baked, broiled, or roasted, from raw"
intersection,"chicken wing, baked, coated"
intersection,"chicken wing, fried, coated, from fast food"
intersection,"chicken wing, fried, coated, from pre-cooked"
intersection,"chicken wing, fried, coated, from raw"
intersection,"chicken wing, fried, coated, from restaurant"
intersection,"chicken wing, grilled with sauce"
intersection,"chicken wing, grilled without sauce"
intersection,"chicken wing, ns as to cooking method"
intersection,"chicken wing, rotisserie"
intersection,"chicken wing, sauteed"
intersection,"chicken wing, stewed"
only_in_foods,"chicken wings with hot sauce, from fast food / restaurant"
only_in_foods,"chicken wings with hot sauce, from other sources"
only_in_foods,"chicken wings with hot sauce, from precooked"
only_in_foods,"chicken wings with other sauces or seasoning, from fast food / restaurant"
only_in_foods,"chicken wings with other sauces or seasoning, from other sources"
only_in_foods,"chicken wings with other sauces or seasoning, from precooked"
only_in_foods,"chicken wings, boneless, with hot sauce, from fast food / restaurant"
only_in_foods,"chicken wings, boneless, with hot sauce, from other sources"
only_in_foods,"chicken wings, plain, from fast food / restaurant"
only_in_foods,"chicken wings, plain, from other sources"
only_in_foods,"chicken wings, plain, from precooked"
intersection,chicken with gravy
intersection,chicken with mole sauce
intersection,"chicken with noodles and cheese sauce, diet frozen meal"
intersection,"chicken with rice and vegetable, diet frozen meal"
intersection,"chicken, back"
intersection,"chicken, canned, meat only"
intersection,"chicken, chicken roll, roasted"
intersection,"chicken, for use with vegetables"
intersection,"chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion"
intersection,"chicken, fried, with potatoes, vegetable, frozen meal"
intersection,"chicken, ground"
intersection,"chicken, meatless, breaded, fried"
intersection,"chicken, meatless, nfs"
intersection,"chicken, neck or ribs"
intersection,"chicken, ns as to part and cooking method, ns as to skin eaten"
intersection,"chicken, ns as to part and cooking method, skin eaten"
intersection,"chicken, ns as to part and cooking method, skin not eaten"
intersection,"chicken, ns as to part, baked, broiled, or roasted, ns as to skin eaten"
intersection,"chicken, ns as to part, baked, broiled, or roasted, skin eaten"
intersection,"chicken, ns as to part, baked, broiled, or roasted, skin not eaten"
intersection,"chicken, ns as to part, baked, coated, skin / coating eaten"
intersection,"chicken, ns as to part, baked, coated, skin / coating not eaten"
intersection,"chicken, ns as to part, fried, coated, skin / coating eaten"
intersection,"chicken, ns as to part, fried, coated, skin / coating not eaten"
intersection,"chicken, ns as to part, grilled with sauce, ns as to skin eaten"
intersection,"chicken, ns as to part, grilled with sauce, skin eaten"
intersection,"chicken, ns as to part, grilled with sauce, skin not eaten"
intersection,"chicken, ns as to part, grilled without sauce, ns as to skin eaten"
intersection,"chicken, ns as to part, grilled without sauce, skin eaten"
intersection,"chicken, ns as to part, grilled without sauce, skin not eaten"
intersection,"chicken, ns as to part, rotisserie, ns as to skin eaten"
intersection,"chicken, ns as to part, rotisserie, skin eaten"
intersection,"chicken, ns as to part, rotisserie, skin not eaten"
intersection,"chicken, ns as to part, sauteed, skin eaten"
intersection,"chicken, ns as to part, sauteed, skin not eaten"
intersection,"chicken, ns as to part, stewed, ns as to skin eaten"
intersection,"chicken, ns as to part, stewed, skin eaten"
intersection,"chicken, ns as to part, stewed, skin not eaten"
intersection,"chicken, prepackaged or deli, luncheon meat"
intersection,"chicken, prepackaged or deli, luncheon meat, reduced sodium"
intersection,"chicken, tail"
intersection,"chickpeas, from canned, fat added"
intersection,"chickpeas, from canned, no added fat"
intersection,"chickpeas, from canned, reduced sodium"
intersection,"chickpeas, from dried, fat added"
intersection,"chickpeas, from dried, no added fat"
intersection,"chickpeas, nfs"
intersection,chicory beverage
intersection,chilaquiles
intersection,"chiles rellenos, cheese-filled"
intersection,"chiles rellenos, filled with meat and cheese"
intersection,"chili hot dog sandwich, on wheat bread"
intersection,"chili hot dog sandwich, on wheat bun"
intersection,"chili hot dog sandwich, on white bread"
intersection,"chili hot dog sandwich, on white bun"
intersection,"chili hot dog, no bun"
intersection,chili with chicken
intersection,chili with chicken and beans
intersection,chili with macaroni
intersection,chili with meat
intersection,chili with meat and beans
intersection,"chili with meat, canned"
intersection,"chili with meat, from restaurant"
intersection,"chili, nfs"
intersection,"chili, vegetarian"
intersection,"chili, white"
intersection,"chiliburger, with or without cheese, on bun"
intersection,"chimichanga, chicken"
intersection,"chimichanga, meat"
intersection,"chimichanga, with beans"
intersection,chinese pancake
intersection,"chipotle dip, light"
intersection,"chipotle dip, regular"
intersection,"chipotle dip, yogurt based"
intersection,"chips, rice"
intersection,chitterlings
intersection,"chives, raw"
intersection,"chocolate beverage powder, dry mix, not reconstituted"
intersection,"chocolate beverage powder, light, dry mix, not reconstituted"
intersection,chocolate candy
intersection,chocolate candy with cereal
intersection,chocolate candy with dried fruit
intersection,chocolate candy with nuts
intersection,"chocolate candy with nuts, other, nfs"
intersection,"chocolate candy, candy shell"
intersection,"chocolate candy, candy shell with nuts"
intersection,"chocolate candy, caramel filled"
intersection,"chocolate candy, caramel filled with nuts"
intersection,"chocolate candy, coconut filled"
intersection,"chocolate candy, cookie filled"
intersection,"chocolate candy, cream filled"
intersection,"chocolate candy, fudge"
intersection,"chocolate candy, nougat filled"
intersection,"chocolate candy, nougat filled with nuts"
intersection,"chocolate candy, other, nfs"
intersection,"chocolate candy, peanut butter filled"
intersection,"chocolate candy, sugar free"
intersection,chocolate chips
intersection,chocolate dip
intersection,chocolate hazelnut spread
intersection,chocolate milk drink
intersection,"chocolate milk, fat free (skim)"
intersection,"chocolate milk, low fat (1%)"
intersection,"chocolate milk, nesquik, made with non-dairy milk"
intersection,"chocolate milk, nesquik, ns as to type of milk"
intersection,"chocolate milk, nfs"
intersection,"chocolate milk, reduced fat (2%)"
intersection,"chocolate milk, reduced sugar, fat free (skim)"
intersection,"chocolate milk, reduced sugar, low fat (1%)"
intersection,"chocolate milk, reduced sugar, nfs"
intersection,"chocolate milk, reduced sugar, reduced fat (2%)"
intersection,"chocolate milk, reduced sugar, whole"
intersection,"chocolate milk, whole"
intersection,chocolate syrup
intersection,"chocolate syrup, light"
intersection,chorizo
intersection,chow fun noodles with meat and vegetables
intersection,"chow fun noodles with vegetables, meatless"
intersection,"chow mein or chop suey, meatless, no noodles"
intersection,"chow mein or chop suey, meatless, with noodles"
intersection,"chow mein or chop suey, ns as to type of meat, no noodles"
intersection,"chow mein or chop suey, ns as to type of meat, with noodles"
intersection,"chow mein or chop suey, various types of meat, with noodles"
intersection,"christophine, cooked"
intersection,churros
intersection,chutney
intersection,"cilantro, raw"
intersection,clam cake or patty
intersection,clams casino
intersection,"clams, baked or broiled"
intersection,"clams, canned"
intersection,"clams, fried"
intersection,"clams, nfs"
intersection,"clams, raw"
intersection,"clams, steamed or boiled"
intersection,"classic mixed vegetables, canned, cooked with butter or margarine"
intersection,"classic mixed vegetables, canned, cooked with oil"
intersection,"classic mixed vegetables, canned, cooked, fat added, ns as to fat type"
intersection,"classic mixed vegetables, canned, cooked, no added fat"
intersection,"classic mixed vegetables, canned, reduced sodium, cooked with butter or margarine"
intersection,"classic mixed vegetables, canned, reduced sodium, cooked with oil"
intersection,"classic mixed vegetables, canned, reduced sodium, cooked, fat added, ns as to fat type"
intersection,"classic mixed vegetables, canned, reduced sodium, cooked, no added fat"
intersection,"classic mixed vegetables, cooked, from restaurant"
intersection,"classic mixed vegetables, frozen, cooked with butter or margarine"
intersection,"classic mixed vegetables, frozen, cooked with oil"
intersection,"classic mixed vegetables, frozen, cooked, fat added, ns as to fat type"
intersection,"classic mixed vegetables, frozen, cooked, no added fat"
intersection,"classic mixed vegetables, ns as to form, cooked"
intersection,"clementine, raw"
intersection,club sandwich on wheat
intersection,"club sandwich on wheat, with cheese"
intersection,club sandwich on white
intersection,"club sandwich on white, with cheese"
intersection,"club sandwich or sub, restaurant"
intersection,"cobb salad, no dressing"
intersection,"cobbler, apple"
intersection,"cobbler, berry"
intersection,"cobbler, cherry"
intersection,"cobbler, peach"
intersection,cocktail sauce
intersection,"cocktail, nfs"
intersection,"cocoa powder, not reconstituted"
intersection,"coconut cream, canned, sweetened"
intersection,coconut milk
intersection,"coconut milk, used in cooking"
intersection,coconut oil
intersection,"coconut water, sweetened"
intersection,"coconut water, unsweetened"
intersection,"coconut, fresh"
intersection,"coconut, packaged"
intersection,"codfish salad, puerto rican style, serenata"
intersection,"codfish with starchy vegetables, puerto rican style"
intersection,"coffee and chicory, brewed"
intersection,"coffee and chicory, brewed, decaffeinated"
intersection,"coffee cake, crumb or quick-bread type"
intersection,"coffee cake, crumb or quick-bread type, cheese-filled"
intersection,"coffee cake, crumb or quick-bread type, with fruit"
intersection,"coffee cake, yeast type"
intersection,"coffee creamer, liquid"
intersection,"coffee creamer, liquid, fat free"
intersection,"coffee creamer, liquid, fat free, flavored"
intersection,"coffee creamer, liquid, fat free, sugar free, flavored"
intersection,"coffee creamer, liquid, flavored"
intersection,"coffee creamer, liquid, sugar free, flavored"
intersection,"coffee creamer, nfs"
intersection,"coffee creamer, powder"
intersection,"coffee creamer, powder, fat free"
intersection,"coffee creamer, powder, flavored"
intersection,"coffee creamer, soy, liquid"
intersection,"coffee creamer,powder, sugar free, flavored"
intersection,coffee substitute
intersection,"coffee, bottled/canned"
intersection,"coffee, bottled/canned, light"
intersection,"coffee, brewed"
intersection,"coffee, brewed, blend of regular and decaffeinated"
intersection,"coffee, brewed, decaffeinated"
intersection,"coffee, brewed, flavored"
intersection,"coffee, cafe con leche"
intersection,"coffee, cafe con leche, decaffeinated"
intersection,"coffee, cafe mocha"
intersection,"coffee, cafe mocha, decaffeinated"
intersection,"coffee, cafe mocha, decaffeinated, nonfat"
intersection,"coffee, cafe mocha, decaffeinated, with non-dairy milk"
intersection,"coffee, cafe mocha, nonfat"
intersection,"coffee, cafe mocha, with non-dairy milk"
intersection,"coffee, cappuccino"
intersection,"coffee, cappuccino, decaffeinated"
intersection,"coffee, cappuccino, decaffeinated, nonfat"
intersection,"coffee, cappuccino, decaffeinated, with non-dairy milk"
intersection,"coffee, cappuccino, nonfat"
intersection,"coffee, cappuccino, with non-dairy milk"
intersection,"coffee, cuban"
intersection,"coffee, decaffeinated, pre-lightened"
intersection,"coffee, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener"
intersection,"coffee, decaffeinated, pre-lightened and pre-sweetened with sugar"
intersection,"coffee, decaffeinated, pre-sweetened with low calorie sweetener"
intersection,"coffee, decaffeinated, pre-sweetened with sugar"
intersection,"coffee, espresso"
intersection,"coffee, espresso, decaffeinated"
intersection,"coffee, iced cafe mocha"
intersection,"coffee, iced cafe mocha, decaffeinated"
intersection,"coffee, iced cafe mocha, decaffeinated, nonfat"
intersection,"coffee, iced cafe mocha, decaffeinated, with non-dairy milk"
intersection,"coffee, iced cafe mocha, nonfat"
intersection,"coffee, iced cafe mocha, with non-dairy milk"
intersection,"coffee, iced latte"
intersection,"coffee, iced latte, decaffeinated"
intersection,"coffee, iced latte, decaffeinated, flavored"
intersection,"coffee, iced latte, decaffeinated, nonfat"
intersection,"coffee, iced latte, decaffeinated, nonfat, flavored"
intersection,"coffee, iced latte, decaffeinated, with non-dairy milk"
intersection,"coffee, iced latte, decaffeinated, with non-dairy milk, flavored"
intersection,"coffee, iced latte, flavored"
intersection,"coffee, iced latte, nonfat"
intersection,"coffee, iced latte, nonfat, flavored"
intersection,"coffee, iced latte, with non-dairy milk"
intersection,"coffee, iced latte, with non-dairy milk, flavored"
intersection,"coffee, instant, 50% less caffeine, reconstituted"
intersection,"coffee, instant, decaffeinated, not reconstituted"
intersection,"coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted"
intersection,"coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted"
intersection,"coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted"
intersection,"coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, reconsitituted"
intersection,"coffee, instant, decaffeinated, reconstituted"
intersection,"coffee, instant, not reconstituted"
intersection,"coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted"
intersection,"coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted"
intersection,"coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted"
intersection,"coffee, instant, pre-sweetened with sugar, not reconstituted"
intersection,"coffee, instant, pre-sweetened with sugar, reconstituted"
intersection,"coffee, instant, reconstituted"
intersection,"coffee, latte"
intersection,"coffee, latte, decaffeinated"
intersection,"coffee, latte, decaffeinated, flavored"
intersection,"coffee, latte, decaffeinated, nonfat"
intersection,"coffee, latte, decaffeinated, nonfat, flavored"
intersection,"coffee, latte, decaffeinated, with non-dairy milk"
intersection,"coffee, latte, decaffeinated, with non-dairy milk, flavored"
intersection,"coffee, latte, flavored"
intersection,"coffee, latte, nonfat"
intersection,"coffee, latte, nonfat, flavored"
intersection,"coffee, latte, with non-dairy milk"
intersection,"coffee, latte, with non-dairy milk, flavored"
intersection,"coffee, macchiato"
intersection,"coffee, macchiato, sweetened"
intersection,"coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted"
intersection,"coffee, ns as to brewed or instant"
intersection,"coffee, ns as to brewed or instant, decaffeinated"
intersection,"coffee, ns as to type"
intersection,"coffee, pre-lightened"
intersection,"coffee, pre-lightened and pre-sweetened with low calorie sweetener"
intersection,"coffee, pre-lightened and pre-sweetened with sugar"
intersection,"coffee, pre-sweetened with low calorie sweetener"
intersection,"coffee, pre-sweetened with sugar"
intersection,"coffee, turkish"
intersection,coleslaw
intersection,coleslaw dressing
intersection,"coleslaw, fast food / restaurant"
intersection,"coleslaw, with fruit"
intersection,"collards, fresh, cooked with butter or margarine"
intersection,"collards, fresh, cooked with oil"
only_in_test,"collards, fresh, cooked, fat added"
only_in_foods,"collards, fresh, cooked, fat added, ns as to fat type"
intersection,"collards, fresh, cooked, no added fat"
intersection,"collards, frozen, cooked with butter or margarine"
intersection,"collards, frozen, cooked with oil"
only_in_test,"collards, frozen, cooked, fat added"
only_in_foods,"collards, frozen, cooked, fat added, ns as to fat type"
intersection,"collards, frozen, cooked, no added fat"
intersection,"collards, ns as to form, cooked"
intersection,"collards, raw"
intersection,congee
intersection,"congee, with egg"
intersection,"congee, with meat, poultry, and/or seafood"
intersection,"congee, with meat, poultry, and/or seafood, and vegetables"
intersection,"congee, with vegetables"
intersection,"cookie bar, with chocolate, nuts, and graham crackers"
intersection,"cookie, almond"
intersection,"cookie, animal"
intersection,"cookie, animal, with frosting or icing"
intersection,"cookie, applesauce"
intersection,"cookie, bar, with chocolate"
intersection,"cookie, batter or dough, raw"
intersection,"cookie, biscotti"
intersection,"cookie, brownie, ns as to icing"
intersection,"cookie, brownie, reduced fat, ns as to icing"
intersection,"cookie, brownie, with icing or filling"
intersection,"cookie, brownie, without icing"
intersection,"cookie, butter or sugar"
intersection,"cookie, butter or sugar, with chocolate icing or filling"
intersection,"cookie, butter or sugar, with fruit and/or nuts"
intersection,"cookie, butter or sugar, with icing or filling other than chocolate"
intersection,"cookie, butterscotch, brownie"
intersection,"cookie, chocolate and vanilla sandwich"
intersection,"cookie, chocolate chip"
intersection,"cookie, chocolate chip sandwich"
intersection,"cookie, chocolate chip, made from home recipe or purchased at a bakery"
intersection,"cookie, chocolate chip, reduced fat"
intersection,"cookie, chocolate chip, reduced sugar"
intersection,"cookie, chocolate or fudge"
intersection,"cookie, chocolate sandwich"
intersection,"cookie, chocolate sandwich, reduced fat"
intersection,"cookie, chocolate wafer"
intersection,"cookie, chocolate, made with oatmeal and coconut, no bake"
intersection,"cookie, chocolate, made with rice cereal"
intersection,"cookie, chocolate, sandwich, with extra filling"
intersection,"cookie, chocolate, with icing or coating"
intersection,"cookie, coconut"
intersection,"cookie, cone shell, ice cream type, wafer or cake"
intersection,"cookie, fig bar"
intersection,"cookie, fortune"
intersection,"cookie, fruit-filled bar"
intersection,"cookie, gingersnaps"
intersection,"cookie, gluten free"
intersection,"cookie, graham cracker with chocolate and marshmallow"
intersection,"cookie, granola"
intersection,"cookie, ladyfinger"
intersection,"cookie, lebkuchen"
intersection,"cookie, lemon bar"
intersection,"cookie, macaroon"
intersection,"cookie, marshmallow and peanut butter, with oat cereal, no bake"
intersection,"cookie, marshmallow pie, chocolate covered"
intersection,"cookie, marshmallow, chocolate-covered"
intersection,"cookie, marshmallow, with coconut"
intersection,"cookie, marshmallow, with rice cereal and chocolate chips"
intersection,"cookie, marshmallow, with rice cereal, no bake"
intersection,"cookie, meringue"
intersection,"cookie, molasses"
intersection,"cookie, multigrain, high fiber"
intersection,"cookie, nfs"
intersection,"cookie, oatmeal"
intersection,"cookie, oatmeal sandwich, with creme filling"
intersection,"cookie, oatmeal sandwich, with peanut butter and jelly filling"
intersection,"cookie, oatmeal, reduced fat, ns as to raisins"
intersection,"cookie, oatmeal, reduced sugar"
intersection,"cookie, oatmeal, with chocolate and peanut butter, no bake"
intersection,"cookie, oatmeal, with chocolate chips"
