Food Group,Macronutrient Focus,Processing Level,Culinary Usage,Health Impact,id,diets,allergens
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Moderate,5001,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Low-Carb,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Moderate,5002,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Low-Carb,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Coffee Drink,Unhealthy,5027,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free","Milk,Soybeans"
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Coffee Drink,Unhealthy,5030,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free","Milk,Soybeans"
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Moderate,5031,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free","Milk,Soybeans"
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Moderate,5032,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Moderate,5028,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free","Milk,Soybeans"
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Moderate,5029,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Moderate,5089,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Low-Carb,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Moderate,5092,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Low-Carb,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5093,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Low-Carb,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5094,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5090,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Low-Carb,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5091,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Sweets and snacks,Carbohydrate-rich,Processed,Beverage,Unhealthy,4998,"Vegetarian,Halal,Kosher,Gluten-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Fat-rich; N/A,Highly Processed,Coffee Drink,Moderate,5082,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Low Calorie,Highly Processed,Coffee Drink,Moderate,5080,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Coffee Drink,Unhealthy,5078,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Sweets and snacks,,Highly Processed,Coffee Drink,Neutral,5086,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Sweets and snacks,Carbohydrate-rich; N/A,Highly Processed,Coffee Drink,Unhealthy,5084,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Beverages,,Processed,Beverage,Neutral,4995,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages,,Processed,Beverage,Neutral,4996,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Coffee Drink,Unhealthy,5060,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free","Milk,Soybeans"
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Coffee Drink,Unhealthy,5063,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free","Milk,Soybeans"
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Moderate,5064,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free","Milk,Soybeans"
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Moderate,5065,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Moderate,5061,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free","Milk,Soybeans"
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Moderate,5062,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Moderate,5048,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Low-Carb,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Moderate,5054,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Low-Carb,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5057,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5055,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Low-Carb,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5058,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5056,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5059,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5051,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5049,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Low-Carb,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5052,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5050,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5053,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages,,Processed,Beverage,Neutral,5067,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages,,Processed,Ingredient,Neutral,5098,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Low Calorie,Highly Processed,Ingredient,Moderate,5102,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Low Calorie,Highly Processed,Coffee Drink,Moderate,5076,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Ingredient,Unhealthy,5101,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Coffee Drink,Unhealthy,5072,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages,,Processed,Beverage,Neutral,5070,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages,,Processed,Ingredient,Neutral,5097,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Low Calorie,Highly Processed,Coffee Drink,Moderate,5075,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Ingredient,Unhealthy,5100,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Coffee Drink,Unhealthy,5071,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Ingredient,Unhealthy,5099,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5073,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Beverages,,Processed,Beverage,Neutral,5066,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Moderate,5003,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Low-Carb,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Moderate,5009,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Low-Carb,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5012,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5010,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Low-Carb,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5013,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5011,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5014,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5006,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5004,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Low-Carb,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5007,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages,Carbohydrate-rich; N/A,Processed,Coffee Drink,Healthy,5005,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Coffee Drink,Unhealthy,5008,"Vegan,Vegetarian,Halal,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Egg-Free","Soybeans,Nuts"
Beverages; Dairy,N/A; Carbohydrate-rich,Processed,Coffee Drink,Neutral,4999,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Keto,Low-Carb,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich,Processed,Coffee Drink,Unhealthy,5000,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Low Calorie,Highly Processed,Coffee Drink,Moderate,5074,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free","Milk,Soybeans"
Beverages,,Processed,Beverage,Neutral,4991,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages,,Processed,Beverage,Neutral,5068,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages,,Processed,Beverage,Neutral,4990,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Dairy,Fat-rich; N/A,Highly Processed,Coffee Drink,Moderate,5081,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Low Calorie,Highly Processed,Coffee Drink,Moderate,5079,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Kosher,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Coffee Drink,Unhealthy,5077,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Sweets and snacks,,Highly Processed,Coffee Drink,Neutral,5085,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Sweets and snacks,Carbohydrate-rich; N/A,Highly Processed,Coffee Drink,Unhealthy,5083,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Beverages,,Processed,Beverage,Neutral,4994,"Vegan,Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Vegetables; Condiments; Oils and fats; Sweets and snacks,Carbohydrate-rich; Fat-rich,Processed,Side Dish,Unhealthy,4432,"Vegetarian,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free","Eggs,Soybeans,Mustard"
Condiments; Oils and fats; Dairy; Sweets and snacks,Fat-rich; Carbohydrate-rich,Highly Processed,Dressing,Unhealthy,4817,"Vegetarian,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free","Eggs,Soybeans,Mustard"
Vegetables; Condiments; Oils and fats; Sweets and snacks,Carbohydrate-rich; Fat-rich,Highly Processed,Side Dish,Unhealthy,4431,"Vegetarian,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free","Eggs,Soybeans,Mustard"
Vegetables; Fruits; Condiments; Oils and fats; Sweets and snacks,Carbohydrate-rich; Fat-rich,Processed,Side Dish,Unhealthy,4434,"Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Pescatarian,Nut-Free","Eggs,Soybeans,Mustard"
Vegetables; Oils and fats; Dairy,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Processed,Side Dish,Moderate,4200,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free","Milk,Soybeans"
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Processed,Side Dish,Healthy,4199,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Processed,Side Dish,Healthy,4197,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Minimally Processed,Side Dish; Ingredient,Healthy,4194,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Vegetables; Oils and fats; Dairy,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Processed,Side Dish,Moderate,4202,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free","Milk,Soybeans"
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Processed,Side Dish,Healthy,4201,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Processed,Side Dish,Healthy,4198,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Processed,Side Dish; Ingredient,Healthy,4195,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Processed,Side Dish; Ingredient,Healthy,4196,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Unprocessed,Ingredient,Healthy,4193,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Grains,Carbohydrate-rich,Processed,Neutral,Unhealthy,3035,"Vegetarian,Gluten-Free,Halal,Kosher,Dairy-Free,Lactose-Free,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Composite Meal; Grains; Proteins,Protein-rich; Carbohydrate-rich,Processed,Breakfast; Meal,Healthy,3601,"Vegetarian,Mineral-Rich,Vitamin-Rich,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Nut-Free,Soy-Free",Eggs
Composite Meal; Grains; Proteins,Protein-rich; Carbohydrate-rich,Processed,Breakfast; Meal,Healthy,3598,"Pescatarian,Mineral-Rich,Vitamin-Rich,Gluten-Free,Dairy-Free,Nut-Free,Egg-Free,Soy-Free","Fish,Crustaceans,Molluscs"
Composite Meal; Grains; Proteins; Vegetables,Balanced,Processed,Breakfast; Meal,Healthy,3599,"Pescatarian,Mineral-Rich,Vitamin-Rich,Gluten-Free,Dairy-Free,Nut-Free,Egg-Free,Soy-Free","Fish,Crustaceans,Molluscs"
Composite Meal; Grains; Vegetables,Carbohydrate-rich,Processed,Breakfast; Meal,Healthy,3600,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",
Grains; Sweets and snacks; Nuts; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Highly Processed,Dessert Bar,Unhealthy,2543,"Vegetarian,Halal,Pescatarian,Egg-Free","Cereals containing gluten,Milk,Nuts,Soybeans"
Grains; Sweets and snacks; Nuts; Dairy; Proteins; Oils and fats,Carbohydrate-rich; Fat-rich,Highly Processed,Cookie; Dessert,Unhealthy,2517,"Vegetarian,Halal,Pescatarian,Egg-Free,Soy-Free","Cereals containing gluten,Milk,Nuts (almonds)"
Grains; Sweets and snacks; Dairy; Proteins; Oils and fats,Carbohydrate-rich,Processed,Cookie; Snack,Unhealthy,2585,"Vegetarian,Halal,Kosher,Pescatarian,Nut-Free,Soy-Free","Cereals containing gluten,Milk,Eggs"
Grains; Sweets and snacks; Dairy; Proteins; Oils and fats,Carbohydrate-rich,Highly Processed,Cookie; Treat,Unhealthy,2586,"Vegetarian,Halal,Kosher,Pescatarian,Nut-Free,Soy-Free","Cereals containing gluten,Milk,Eggs"
Grains; Sweets and snacks; Fruits; Dairy; Proteins; Oils and fats,Carbohydrate-rich,Processed,Cookie; Dessert,Moderate,2518,"Vegetarian,Halal,Kosher,Pescatarian,Nut-Free,Soy-Free","Cereals containing gluten,Milk,Eggs"
Grains; Sweets and snacks; Dairy; Proteins; Oils and fats,Carbohydrate-rich; Fat-rich,Highly Processed,Dessert Bar,Unhealthy,2525,"Vegetarian,Halal,Pescatarian,Nut-Free","Cereals containing gluten,Milk,Eggs,Soybeans"
Grains; Sweets and snacks; Dairy; Proteins; Oils and fats,Carbohydrate-rich; Fat-rich,Processed,Ingredient,Unhealthy,2515,"Vegetarian,Halal,Pescatarian,Soy-Free","Cereals containing gluten,Milk,Eggs,Nuts"
Grains; Sweets and snacks; Nuts; Proteins; Oils and fats,Carbohydrate-rich,Processed,Cookie,Moderate,2519,"Vegetarian,Halal,Pescatarian,Egg-Free,Soy-Free","Cereals containing gluten,Milk,Nuts"
Grains; Sweets and snacks; Dairy; Proteins; Oils and fats,Carbohydrate-rich; Fat-rich,Highly Processed,Brownie; Dessert Bar,Unhealthy,2520,"Vegetarian,Halal,Pescatarian,Nut-Free","Cereals containing gluten,Milk,Eggs,Soybeans"
